area,year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,total
Amnat Charoen,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amnat Charoen,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amnat Charoen,2013,0.0,0.0,0.0,2.66881595311424e-06,2.66881595311424e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.33763190622848e-06
Amnat Charoen,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amnat Charoen,2015,0.0,0.0,0.0,0.0,0.0,2.65687519594455e-06,0.0,0.0,0.0,0.0,0.0,0.0,2.65687519594455e-06
Amnat Charoen,2016,0.0,0.0,0.0,0.0,2.65167585914298e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.65167585914298e-06
Amnat Charoen,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amnat Charoen,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amnat Charoen,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amnat Charoen,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ang Thong,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ang Thong,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ang Thong,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ang Thong,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ang Thong,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ang Thong,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ang Thong,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ang Thong,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ang Thong,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ang Thong,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.61553813669627e-06,0.0,0.0,0.0,0.0,3.61553813669627e-06
Bangkok,2011,1.76216328804163e-07,0.0,0.0,1.76216328804163e-07,0.0,3.52432657608325e-07,1.76216328804163e-07,1.76216328804163e-07,0.0,0.0,0.0,0.0,1.057297972824976e-06
Bangkok,2012,1.76256177779031e-07,0.0,0.0,0.0,0.0,1.76256177779031e-07,0.0,1.76256177779031e-07,1.76256177779031e-07,0.0,3.52512355558062e-07,0.0,1.057537066674187e-06
Bangkok,2013,1.75862765139498e-07,0.0,0.0,0.0,0.0,1.75862765139498e-07,0.0,0.0,0.0,0.0,0.0,0.0,3.51725530278996e-07
Bangkok,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bangkok,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75549192482492e-07,1.75549192482492e-07,1.75549192482492e-07,5.26647577447476e-07
Bangkok,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bangkok,2017,0.0,0.0,0.0,0.0,0.0,0.0,1.75981514901675e-07,0.0,1.75981514901675e-07,1.75981514901675e-07,3.5196302980335e-07,1.75981514901675e-07,1.055889089410048e-06
Bangkok,2018,1.76160297414953e-07,0.0,0.0,0.0,1.76160297414953e-07,5.2848089224486e-07,5.2848089224486e-07,1.76160297414953e-07,1.76160297414953e-07,0.0,0.0,0.0,1.7616029741495329e-06
Bangkok,2019,1.76483128918808e-07,1.76483128918808e-07,0.0,0.0,0.0,0.0,3.52966257837616e-07,3.52966257837616e-07,0.0,1.76483128918808e-07,5.29449386756424e-07,0.0,1.764831289188078e-06
Bangkok,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bungkan,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bungkan,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bungkan,2013,0.0,0.0,0.0,0.0,0.0,0.0,2.40248320664239e-06,2.40248320664239e-06,0.0,0.0,0.0,0.0,4.80496641328477e-06
Bungkan,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bungkan,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bungkan,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bungkan,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bungkan,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bungkan,2019,0.0,0.0,0.0,0.0,4.71596897835606e-06,4.71596897835606e-06,0.0,0.0,0.0,0.0,0.0,0.0,9.43193795671212e-06
Bungkan,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buri Ram,2011,0.0,0.0,0.0,0.0,6.41401847878724e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.41401847878724e-07
Buri Ram,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buri Ram,2013,0.0,0.0,0.0,0.0,0.0,0.0,6.35550940043395e-07,6.35550940043395e-07,0.0,0.0,6.35550940043395e-07,0.0,1.90665282013019e-06
Buri Ram,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.33212769621997e-07,0.0,0.0,6.33212769621997e-07
Buri Ram,2015,0.0,0.0,0.0,0.0,0.0,0.0,6.31049795508314e-07,0.0,0.0,0.0,0.0,0.0,6.31049795508314e-07
Buri Ram,2016,0.0,0.0,6.29763769312493e-07,6.29763769312493e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25952753862499e-06
Buri Ram,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buri Ram,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buri Ram,2019,0.0,0.0,0.0,0.0,0.0,6.26665755912435e-07,0.0,6.26665755912435e-07,6.26665755912435e-07,0.0,0.0,0.0,1.8799972677373048e-06
Buri Ram,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chachoengsao,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47195195548817e-06,1.47195195548817e-06,0.0,0.0,2.94390391097634e-06
Chachoengsao,2012,0.0,0.0,0.0,0.0,0.0,1.45831905395926e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.45831905395926e-06
Chachoengsao,2013,0.0,0.0,0.0,1.44880082755503e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44880082755503e-06
Chachoengsao,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
