NAME_1,tn,fp,fn,tp,population,accuracy,prevalence,precision,npv,recall,specificity,f1
Amnat Charoen,97,3,0,0,100,0.97,0.03,0,1,0,0.97,0
Ang Thong,96,4,0,0,100,0.96,0.04,0,1,0,0.96,0
Bangkok Metropolis,96,4,0,0,100,0.96,0.04,0,1,0,0.96,0
Bueng Kan,96,4,0,0,100,0.96,0.04,0,1,0,0.96,0
Buri Ram,99,1,0,0,100,0.99,0.01,0,1,0,0.99,0
Chachoengsao,99,1,0,0,100,0.99,0.01,0,1,0,0.99,0
Chai Nat,99,1,0,0,100,0.99,0.01,0,1,0,0.99,0
Chaiyaphum,97,3,0,0,100,0.97,0.03,0,1,0,0.97,0
Chanthaburi,98,2,0,0,100,0.98,0.02,0,1,0,0.98,0
Chiang Mai,99,1,0,0,100,0.99,0.01,0,1,0,0.99,0
Chiang Rai,98,2,0,0,100,0.98,0.02,0,1,0,0.98,0
Chon Buri,99,1,0,0,100,0.99,0.01,0,1,0,0.99,0
Chumphon,94,6,0,0,100,0.94,0.06,0,1,0,0.94,0
Kalasin,98,2,0,0,100,0.98,0.02,0,1,0,0.98,0
Kamphaeng Phet,100,0,0,0,100,1.0,0.0,0,1,0,1.0,0
Kanchanaburi,100,0,0,0,100,1.0,0.0,0,1,0,1.0,0
Khon Kaen,0,0,0,100,100,1.0,1.0,1,0,1,0.0,1
Krabi,98,2,0,0,100,0.98,0.02,0,1,0,0.98,0
Lampang,100,0,0,0,100,1.0,0.0,0,1,0,1.0,0
Lamphun,99,1,0,0,100,0.99,0.01,0,1,0,0.99,0
Loei,98,2,0,0,100,0.98,0.02,0,1,0,0.98,0
Lop Buri,99,1,0,0,100,0.99,0.01,0,1,0,0.99,0
Mae Hong Son,98,2,0,0,100,0.98,0.02,0,1,0,0.98,0
Maha Sarakham,96,4,0,0,100,0.96,0.04,0,1,0,0.96,0
Mukdahan,99,1,0,0,100,0.99,0.01,0,1,0,0.99,0
Nakhon Nayok,97,3,0,0,100,0.97,0.03,0,1,0,0.97,0
Nakhon Pathom,98,2,0,0,100,0.98,0.02,0,1,0,0.98,0
Nakhon Phanom,96,4,0,0,100,0.96,0.04,0,1,0,0.96,0
Nakhon Ratchasima,100,0,0,0,100,1.0,0.0,0,1,0,1.0,0
Nakhon Sawan,98,2,0,0,100,0.98,0.02,0,1,0,0.98,0
Nakhon Si Thammarat,95,5,0,0,100,0.95,0.05,0,1,0,0.95,0
Nan,98,2,0,0,100,0.98,0.02,0,1,0,0.98,0
Narathiwat,96,4,0,0,100,0.96,0.04,0,1,0,0.96,0
Nong Bua Lam Phu,98,2,0,0,100,0.98,0.02,0,1,0,0.98,0
Nong Khai,100,0,0,0,100,1.0,0.0,0,1,0,1.0,0
Nonthaburi,98,2,0,0,100,0.98,0.02,0,1,0,0.98,0
Pathum Thani,99,1,0,0,100,0.99,0.01,0,1,0,0.99,0
Pattani,99,1,0,0,100,0.99,0.01,0,1,0,0.99,0
Phangnga,96,4,0,0,100,0.96,0.04,0,1,0,0.96,0
Phatthalung,100,0,0,0,100,1.0,0.0,0,1,0,1.0,0
Phayao,97,3,0,0,100,0.97,0.03,0,1,0,0.97,0
Phetchabun,99,1,0,0,100,0.99,0.01,0,1,0,0.99,0
Phetchaburi,98,2,0,0,100,0.98,0.02,0,1,0,0.98,0
Phichit,94,6,0,0,100,0.94,0.06,0,1,0,0.94,0
Phitsanulok,100,0,0,0,100,1.0,0.0,0,1,0,1.0,0
Phra Nakhon Si Ayutthaya,99,1,0,0,100,0.99,0.01,0,1,0,0.99,0
Phrae,98,2,0,0,100,0.98,0.02,0,1,0,0.98,0
Phuket,99,1,0,0,100,0.99,0.01,0,1,0,0.99,0
Prachin Buri,99,1,0,0,100,0.99,0.01,0,1,0,0.99,0
Prachuap Khiri Khan,98,2,0,0,100,0.98,0.02,0,1,0,0.98,0
Ranong,97,3,0,0,100,0.97,0.03,0,1,0,0.97,0
Ratchaburi,96,4,0,0,100,0.96,0.04,0,1,0,0.96,0
Rayong,98,2,0,0,100,0.98,0.02,0,1,0,0.98,0
Roi Et,0,0,0,100,100,1.0,1.0,1,0,1,0.0,1
Sa Kaeo,98,2,0,0,100,0.98,0.02,0,1,0,0.98,0
Sakon Nakhon,99,1,0,0,100,0.99,0.01,0,1,0,0.99,0
Samut Prakan,96,4,0,0,100,0.96,0.04,0,1,0,0.96,0
Samut Sakhon,96,4,0,0,100,0.96,0.04,0,1,0,0.96,0
Samut Songkhram,99,1,0,0,100,0.99,0.01,0,1,0,0.99,0
Saraburi,97,3,0,0,100,0.97,0.03,0,1,0,0.97,0
Satun,100,0,0,0,100,1.0,0.0,0,1,0,1.0,0
Si Sa Ket,96,4,0,0,100,0.96,0.04,0,1,0,0.96,0
Sing Buri,100,0,0,0,100,1.0,0.0,0,1,0,1.0,0
Songkhla,100,0,0,0,100,1.0,0.0,0,1,0,1.0,0
Sukhothai,98,2,0,0,100,0.98,0.02,0,1,0,0.98,0
Suphan Buri,100,0,0,0,100,1.0,0.0,0,1,0,1.0,0
Surat Thani,98,2,0,0,100,0.98,0.02,0,1,0,0.98,0
Surin,98,2,0,0,100,0.98,0.02,0,1,0,0.98,0
Tak,93,7,0,0,100,0.93,0.07,0,1,0,0.93,0
Trang,100,0,0,0,100,1.0,0.0,0,1,0,1.0,0
Trat,99,1,0,0,100,0.99,0.01,0,1,0,0.99,0
Ubon Ratchathani,98,2,0,0,100,0.98,0.02,0,1,0,0.98,0
Udon Thani,99,1,0,0,100,0.99,0.01,0,1,0,0.99,0
Uthai Thani,99,1,0,0,100,0.99,0.01,0,1,0,0.99,0
Uttaradit,99,1,0,0,100,0.99,0.01,0,1,0,0.99,0
Yala,99,1,0,0,100,0.99,0.01,0,1,0,0.99,0
Yasothon,100,0,0,0,100,1.0,0.0,0,1,0,1.0,0
