NAME_1,tn,fp,fn,tp,population,accuracy,prevalence,precision,npv,recall,specificity,f1
Amnat Charoen,0,0,9,91,100,0.91,0.91,1,0,0.91,0.0,0.9528795811518325
Ang Thong,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Bangkok Metropolis,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Bueng Kan,0,0,13,87,100,0.87,0.87,1,0,0.87,0.0,0.9304812834224598
Buri Ram,0,0,98,2,100,0.02,0.02,1,0,0.02,0.0,0.0392156862745098
Chachoengsao,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Chai Nat,0,0,100,0,100,0.0,0.0,0,0,0.0,0.0,0.0
Chaiyaphum,0,0,100,0,100,0.0,0.0,0,0,0.0,0.0,0.0
Chanthaburi,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Chiang Mai,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Chiang Rai,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Chon Buri,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Chumphon,0,0,100,0,100,0.0,0.0,0,0,0.0,0.0,0.0
Kalasin,0,0,69,31,100,0.31,0.31,1,0,0.31,0.0,0.47328244274809156
Kamphaeng Phet,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Kanchanaburi,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Khon Kaen,0,100,0,0,100,0.0,1.0,0,0,0.0,0.0,0.0
Krabi,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Lampang,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Lamphun,0,0,100,0,100,0.0,0.0,0,0,0.0,0.0,0.0
Loei,0,0,68,32,100,0.32,0.32,1,0,0.32,0.0,0.48484848484848486
Lop Buri,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Mae Hong Son,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Maha Sarakham,0,0,98,2,100,0.02,0.02,1,0,0.02,0.0,0.0392156862745098
Mukdahan,0,0,4,96,100,0.96,0.96,1,0,0.96,0.0,0.9795918367346939
Nakhon Nayok,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Nakhon Pathom,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Nakhon Phanom,0,0,13,87,100,0.87,0.87,1,0,0.87,0.0,0.9304812834224598
Nakhon Ratchasima,0,0,100,0,100,0.0,0.0,0,0,0.0,0.0,0.0
Nakhon Sawan,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Nakhon Si Thammarat,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Nan,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Narathiwat,0,0,64,36,100,0.36,0.36,1,0,0.36,0.0,0.5294117647058824
Nong Bua Lam Phu,0,0,96,4,100,0.04,0.04,1,0,0.04,0.0,0.07692307692307693
Nong Khai,0,0,5,95,100,0.95,0.95,1,0,0.95,0.0,0.9743589743589743
Nonthaburi,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Pathum Thani,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Pattani,0,0,98,2,100,0.02,0.02,1,0,0.02,0.0,0.0392156862745098
Phangnga,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Phatthalung,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Phayao,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Phetchabun,0,0,100,0,100,0.0,0.0,0,0,0.0,0.0,0.0
Phetchaburi,0,0,100,0,100,0.0,0.0,0,0,0.0,0.0,0.0
Phichit,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Phitsanulok,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Phra Nakhon Si Ayutthaya,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Phrae,0,0,100,0,100,0.0,0.0,0,0,0.0,0.0,0.0
Phuket,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Prachin Buri,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Prachuap Khiri Khan,66,34,0,0,100,0.66,0.34,0,1,0.0,0.66,0.0
Ranong,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Ratchaburi,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Rayong,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Roi Et,0,100,0,0,100,0.0,1.0,0,0,0.0,0.0,0.0
Sa Kaeo,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Sakon Nakhon,0,0,0,100,100,1.0,1.0,1,0,1.0,0.0,1.0
Samut Prakan,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Samut Sakhon,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Samut Songkhram,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Saraburi,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Satun,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Si Sa Ket,0,0,76,24,100,0.24,0.24,1,0,0.24,0.0,0.3870967741935484
Sing Buri,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Songkhla,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Sukhothai,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Suphan Buri,0,0,100,0,100,0.0,0.0,0,0,0.0,0.0,0.0
Surat Thani,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Surin,0,0,78,22,100,0.22,0.22,1,0,0.22,0.0,0.36065573770491804
Tak,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Trang,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Trat,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Ubon Ratchathani,0,0,9,91,100,0.91,0.91,1,0,0.91,0.0,0.9528795811518325
Udon Thani,0,0,5,95,100,0.95,0.95,1,0,0.95,0.0,0.9743589743589743
Uthai Thani,0,0,100,0,100,0.0,0.0,0,0,0.0,0.0,0.0
Uttaradit,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Yala,0,0,97,3,100,0.03,0.03,1,0,0.03,0.0,0.058252427184466014
Yasothon,0,0,20,80,100,0.8,0.8,1,0,0.8,0.0,0.888888888888889
