NAME_1,tn,fp,fn,tp,population,accuracy,prevalence,precision,npv,recall,specificity,f1
Amnat Charoen,0,0,8,92,100,0.92,0.92,1,0,0.92,0.0,0.9583333333333334
Ang Thong,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Bangkok Metropolis,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Bueng Kan,0,0,13,87,100,0.87,0.87,1,0,0.87,0.0,0.9304812834224598
Buri Ram,0,0,97,3,100,0.03,0.03,1,0,0.03,0.0,0.058252427184466014
Chachoengsao,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Chai Nat,0,0,100,0,100,0.0,0.0,0,0,0.0,0.0,0.0
Chaiyaphum,0,0,100,0,100,0.0,0.0,0,0,0.0,0.0,0.0
Chanthaburi,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Chiang Mai,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Chiang Rai,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Chon Buri,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Chumphon,0,0,78,22,100,0.22,0.22,1,0,0.22,0.0,0.36065573770491804
Kalasin,0,0,71,29,100,0.29,0.29,1,0,0.29,0.0,0.44961240310077516
Kamphaeng Phet,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Kanchanaburi,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Khon Kaen,99,1,0,0,100,0.99,0.01,0,1,0.0,0.99,0.0
Krabi,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Lampang,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Lamphun,0,0,86,14,100,0.14,0.14,1,0,0.14,0.0,0.24561403508771928
Loei,0,0,67,33,100,0.33,0.33,1,0,0.33,0.0,0.49624060150375937
Lop Buri,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Mae Hong Son,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Maha Sarakham,0,0,98,2,100,0.02,0.02,1,0,0.02,0.0,0.0392156862745098
Mukdahan,0,0,4,96,100,0.96,0.96,1,0,0.96,0.0,0.9795918367346939
Nakhon Nayok,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Nakhon Pathom,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Nakhon Phanom,0,0,15,85,100,0.85,0.85,1,0,0.85,0.0,0.9189189189189189
Nakhon Ratchasima,0,0,100,0,100,0.0,0.0,0,0,0.0,0.0,0.0
Nakhon Sawan,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Nakhon Si Thammarat,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Nan,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Narathiwat,0,0,62,38,100,0.38,0.38,1,0,0.38,0.0,0.5507246376811594
Nong Bua Lam Phu,0,0,95,5,100,0.05,0.05,1,0,0.05,0.0,0.09523809523809523
Nong Khai,0,0,6,94,100,0.94,0.94,1,0,0.94,0.0,0.9690721649484536
Nonthaburi,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Pathum Thani,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Pattani,0,0,100,0,100,0.0,0.0,0,0,0.0,0.0,0.0
Phangnga,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Phatthalung,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Phayao,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Phetchabun,0,0,100,0,100,0.0,0.0,0,0,0.0,0.0,0.0
Phetchaburi,0,0,86,14,100,0.14,0.14,1,0,0.14,0.0,0.24561403508771928
Phichit,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Phitsanulok,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Phra Nakhon Si Ayutthaya,99,1,0,0,100,0.99,0.01,0,1,0.0,0.99,0.0
Phrae,0,0,51,49,100,0.49,0.49,1,0,0.49,0.0,0.6577181208053691
Phuket,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Prachin Buri,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Prachuap Khiri Khan,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Ranong,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Ratchaburi,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Rayong,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Roi Et,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Sa Kaeo,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Sakon Nakhon,0,0,2,98,100,0.98,0.98,1,0,0.98,0.0,0.98989898989899
Samut Prakan,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Samut Sakhon,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Samut Songkhram,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Saraburi,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Satun,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Si Sa Ket,0,0,73,27,100,0.27,0.27,1,0,0.27,0.0,0.4251968503937008
Sing Buri,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Songkhla,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Sukhothai,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Suphan Buri,0,0,100,0,100,0.0,0.0,0,0,0.0,0.0,0.0
Surat Thani,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Surin,0,0,78,22,100,0.22,0.22,1,0,0.22,0.0,0.36065573770491804
Tak,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Trang,98,2,0,0,100,0.98,0.02,0,1,0.0,0.98,0.0
Trat,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Ubon Ratchathani,0,0,9,91,100,0.91,0.91,1,0,0.91,0.0,0.9528795811518325
Udon Thani,0,0,6,94,100,0.94,0.94,1,0,0.94,0.0,0.9690721649484536
Uthai Thani,0,0,100,0,100,0.0,0.0,0,0,0.0,0.0,0.0
Uttaradit,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Yala,0,0,99,1,100,0.01,0.01,1,0,0.01,0.0,0.019801980198019802
Yasothon,0,0,19,81,100,0.81,0.81,1,0,0.81,0.0,0.8950276243093923
