NAME_1,tn,fp,fn,tp,population,accuracy,prevalence,precision,npv,recall,specificity,f1
Amnat Charoen,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Ang Thong,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Bangkok Metropolis,0,0,298,2,300,0.006666666666666667,0.006666666666666667,1,0,0.006666666666666667,0,0.013245033112582783
Bueng Kan,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Buri Ram,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Chachoengsao,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Chai Nat,0,0,296,4,300,0.013333333333333334,0.013333333333333334,1,0,0.013333333333333334,0,0.02631578947368421
Chaiyaphum,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Chanthaburi,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Chiang Mai,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Chiang Rai,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Chon Buri,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Chumphon,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Kalasin,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Kamphaeng Phet,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Kanchanaburi,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Khon Kaen,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Krabi,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Lampang,0,0,298,2,300,0.006666666666666667,0.006666666666666667,1,0,0.006666666666666667,0,0.013245033112582783
Lamphun,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Loei,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Lop Buri,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Mae Hong Son,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Maha Sarakham,0,0,296,4,300,0.013333333333333334,0.013333333333333334,1,0,0.013333333333333334,0,0.02631578947368421
Mukdahan,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Nakhon Nayok,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Nakhon Pathom,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Nakhon Phanom,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Nakhon Ratchasima,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Nakhon Sawan,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Nakhon Si Thammarat,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Nan,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Narathiwat,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Nong Bua Lam Phu,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
