NAME_1,tn,fp,fn,tp,population,accuracy,prevalence,precision,npv,recall,specificity,f1
Amnat Charoen,300,0,0,0,300,1.0,0.0,0,1,0.0,1.0,0.0
Ang Thong,300,0,0,0,300,1.0,0.0,0,1,0.0,1.0,0.0
Bangkok Metropolis,0,0,270,30,300,0.1,0.1,1,0,0.1,0.0,0.18181818181818182
Bueng Kan,300,0,0,0,300,1.0,0.0,0,1,0.0,1.0,0.0
Buri Ram,300,0,0,0,300,1.0,0.0,0,1,0.0,1.0,0.0
Chachoengsao,300,0,0,0,300,1.0,0.0,0,1,0.0,1.0,0.0
Chai Nat,0,0,268,32,300,0.10666666666666667,0.10666666666666667,1,0,0.10666666666666667,0.0,0.1927710843373494
Chaiyaphum,300,0,0,0,300,1.0,0.0,0,1,0.0,1.0,0.0
Chanthaburi,300,0,0,0,300,1.0,0.0,0,1,0.0,1.0,0.0
Chiang Mai,300,0,0,0,300,1.0,0.0,0,1,0.0,1.0,0.0
Chiang Rai,279,21,0,0,300,0.93,0.07,0,1,0.0,0.93,0.0
Chon Buri,300,0,0,0,300,1.0,0.0,0,1,0.0,1.0,0.0
Chumphon,269,31,0,0,300,0.8966666666666666,0.10333333333333333,0,1,0.0,0.8966666666666666,0.0
Kalasin,139,161,0,0,300,0.4633333333333333,0.5366666666666666,0,1,0.0,0.4633333333333333,0.0
Kamphaeng Phet,300,0,0,0,300,1.0,0.0,0,1,0.0,1.0,0.0
Kanchanaburi,300,0,0,0,300,1.0,0.0,0,1,0.0,1.0,0.0
Khon Kaen,257,43,0,0,300,0.8566666666666667,0.14333333333333334,0,1,0.0,0.8566666666666667,0.0
Krabi,296,4,0,0,300,0.9866666666666667,0.013333333333333334,0,1,0.0,0.9866666666666667,0.0
Lampang,0,0,291,9,300,0.03,0.03,1,0,0.03,0.0,0.058252427184466014
Lamphun,280,20,0,0,300,0.9333333333333333,0.06666666666666667,0,1,0.0,0.9333333333333333,0.0
Loei,300,0,0,0,300,1.0,0.0,0,1,0.0,1.0,0.0
Lop Buri,300,0,0,0,300,1.0,0.0,0,1,0.0,1.0,0.0
Mae Hong Son,300,0,0,0,300,1.0,0.0,0,1,0.0,1.0,0.0
Maha Sarakham,0,0,278,22,300,0.07333333333333333,0.07333333333333333,1,0,0.07333333333333333,0.0,0.13664596273291926
Mukdahan,300,0,0,0,300,1.0,0.0,0,1,0.0,1.0,0.0
Nakhon Nayok,300,0,0,0,300,1.0,0.0,0,1,0.0,1.0,0.0
Nakhon Pathom,300,0,0,0,300,1.0,0.0,0,1,0.0,1.0,0.0
Nakhon Phanom,300,0,0,0,300,1.0,0.0,0,1,0.0,1.0,0.0
Nakhon Ratchasima,300,0,0,0,300,1.0,0.0,0,1,0.0,1.0,0.0
Nakhon Sawan,300,0,0,0,300,1.0,0.0,0,1,0.0,1.0,0.0
Nakhon Si Thammarat,79,221,0,0,300,0.2633333333333333,0.7366666666666667,0,1,0.0,0.2633333333333333,0.0
Nan,300,0,0,0,300,1.0,0.0,0,1,0.0,1.0,0.0
Narathiwat,300,0,0,0,300,1.0,0.0,0,1,0.0,1.0,0.0
Nong Bua Lam Phu,236,64,0,0,300,0.7866666666666666,0.21333333333333335,0,1,0.0,0.7866666666666666,0.0
Nong Khai,279,21,0,0,300,0.93,0.07,0,1,0.0,0.93,0.0
Nonthaburi,291,9,0,0,300,0.97,0.03,0,1,0.0,0.97,0.0
Pathum Thani,300,0,0,0,300,1.0,0.0,0,1,0.0,1.0,0.0
Pattani,266,34,0,0,300,0.8866666666666667,0.11333333333333333,0,1,0.0,0.8866666666666667,0.0
Phangnga,290,10,0,0,300,0.9666666666666667,0.03333333333333333,0,1,0.0,0.9666666666666667,0.0
Phatthalung,291,9,0,0,300,0.97,0.03,0,1,0.0,0.97,0.0
Phayao,293,7,0,0,300,0.9766666666666667,0.023333333333333334,0,1,0.0,0.9766666666666667,0.0
Phetchabun,300,0,0,0,300,1.0,0.0,0,1,0.0,1.0,0.0
Phetchaburi,300,0,0,0,300,1.0,0.0,0,1,0.0,1.0,0.0
Phichit,300,0,0,0,300,1.0,0.0,0,1,0.0,1.0,0.0
Phitsanulok,300,0,0,0,300,1.0,0.0,0,1,0.0,1.0,0.0
Phra Nakhon Si Ayutthaya,300,0,0,0,300,1.0,0.0,0,1,0.0,1.0,0.0
Phrae,300,0,0,0,300,1.0,0.0,0,1,0.0,1.0,0.0
Phuket,300,0,0,0,300,1.0,0.0,0,1,0.0,1.0,0.0
Prachin Buri,300,0,0,0,300,1.0,0.0,0,1,0.0,1.0,0.0
Prachuap Khiri Khan,300,0,0,0,300,1.0,0.0,0,1,0.0,1.0,0.0
Ranong,272,28,0,0,300,0.9066666666666666,0.09333333333333334,0,1,0.0,0.9066666666666666,0.0
Ratchaburi,300,0,0,0,300,1.0,0.0,0,1,0.0,1.0,0.0
Rayong,300,0,0,0,300,1.0,0.0,0,1,0.0,1.0,0.0
Roi Et,300,0,0,0,300,1.0,0.0,0,1,0.0,1.0,0.0
Sa Kaeo,300,0,0,0,300,1.0,0.0,0,1,0.0,1.0,0.0
Sakon Nakhon,300,0,0,0,300,1.0,0.0,0,1,0.0,1.0,0.0
Samut Prakan,241,59,0,0,300,0.8033333333333333,0.19666666666666666,0,1,0.0,0.8033333333333333,0.0
Samut Sakhon,298,2,0,0,300,0.9933333333333333,0.006666666666666667,0,1,0.0,0.9933333333333333,0.0
Samut Songkhram,300,0,0,0,300,1.0,0.0,0,1,0.0,1.0,0.0
Saraburi,300,0,0,0,300,1.0,0.0,0,1,0.0,1.0,0.0
Satun,261,39,0,0,300,0.87,0.13,0,1,0.0,0.87,0.0
Si Sa Ket,300,0,0,0,300,1.0,0.0,0,1,0.0,1.0,0.0
