NAME_1,cl_1,cl_2,cl_3,most_cl
Amnat Charoen,hotspot,hotspot,hotspot,hotspot
Ang Thong,not-hotspot,not-hotspot,not-hotspot,not-hotspot
Bangkok Metropolis,not-hotspot,not-hotspot,not-hotspot,not-hotspot
Bueng Kan,hotspot,hotspot,hotspot,hotspot
Buri Ram,hotspot,hotspot,hotspot,hotspot
Chachoengsao,not-hotspot,not-hotspot,not-hotspot,not-hotspot
Chai Nat,not-hotspot,not-hotspot,not-hotspot,not-hotspot
Chaiyaphum,hotspot,hotspot,hotspot,hotspot
Chanthaburi,not-hotspot,not-hotspot,not-hotspot,not-hotspot
Chiang Mai,not-hotspot,not-hotspot,not-hotspot,not-hotspot
Chiang Rai,not-hotspot,not-hotspot,not-hotspot,not-hotspot
Chon Buri,not-hotspot,not-hotspot,not-hotspot,not-hotspot
Chumphon,not-hotspot,not-hotspot,not-hotspot,not-hotspot
Kalasin,hotspot,hotspot,hotspot,hotspot
Kamphaeng Phet,not-hotspot,not-hotspot,not-hotspot,not-hotspot
Kanchanaburi,not-hotspot,not-hotspot,not-hotspot,not-hotspot
Khon Kaen,hotspot,hotspot,hotspot,hotspot
Krabi,not-hotspot,not-hotspot,not-hotspot,not-hotspot
Lampang,not-hotspot,not-hotspot,not-hotspot,not-hotspot
Lamphun,not-hotspot,not-hotspot,not-hotspot,not-hotspot
Loei,hotspot,hotspot,hotspot,hotspot
Lop Buri,not-hotspot,not-hotspot,not-hotspot,not-hotspot
Mae Hong Son,not-hotspot,not-hotspot,not-hotspot,not-hotspot
Maha Sarakham,hotspot,hotspot,hotspot,hotspot
Mukdahan,hotspot,hotspot,hotspot,hotspot
Nakhon Nayok,not-hotspot,not-hotspot,not-hotspot,not-hotspot
Nakhon Pathom,not-hotspot,not-hotspot,not-hotspot,not-hotspot
Nakhon Phanom,hotspot,hotspot,hotspot,hotspot
Nakhon Ratchasima,hotspot,hotspot,hotspot,hotspot
Nakhon Sawan,not-hotspot,not-hotspot,not-hotspot,not-hotspot
Nakhon Si Thammarat,not-hotspot,not-hotspot,not-hotspot,not-hotspot
Nan,not-hotspot,not-hotspot,not-hotspot,not-hotspot
Narathiwat,not-hotspot,not-hotspot,not-hotspot,not-hotspot
Nong Bua Lam Phu,hotspot,hotspot,hotspot,hotspot
Nong Khai,hotspot,hotspot,hotspot,hotspot
Nonthaburi,not-hotspot,not-hotspot,not-hotspot,not-hotspot
Pathum Thani,not-hotspot,not-hotspot,not-hotspot,not-hotspot
Pattani,not-hotspot,not-hotspot,not-hotspot,not-hotspot
Phangnga,not-hotspot,not-hotspot,not-hotspot,not-hotspot
Phatthalung,not-hotspot,not-hotspot,not-hotspot,not-hotspot
Phayao,not-hotspot,not-hotspot,not-hotspot,not-hotspot
Phetchabun,hotspot,not-hotspot,hotspot,hotspot
Phetchaburi,not-hotspot,not-hotspot,not-hotspot,not-hotspot
Phichit,not-hotspot,not-hotspot,not-hotspot,not-hotspot
Phitsanulok,not-hotspot,not-hotspot,not-hotspot,not-hotspot
Phra Nakhon Si Ayutthaya,not-hotspot,not-hotspot,not-hotspot,not-hotspot
Phrae,not-hotspot,not-hotspot,not-hotspot,not-hotspot
Phuket,not-hotspot,not-hotspot,not-hotspot,not-hotspot
Prachin Buri,not-hotspot,not-hotspot,not-hotspot,not-hotspot
Prachuap Khiri Khan,not-hotspot,not-hotspot,not-hotspot,not-hotspot
Ranong,not-hotspot,not-hotspot,not-hotspot,not-hotspot
Ratchaburi,not-hotspot,not-hotspot,not-hotspot,not-hotspot
Rayong,not-hotspot,not-hotspot,not-hotspot,not-hotspot
Roi Et,hotspot,hotspot,hotspot,hotspot
Sa Kaeo,not-hotspot,not-hotspot,not-hotspot,not-hotspot
Sakon Nakhon,hotspot,hotspot,hotspot,hotspot
Samut Prakan,not-hotspot,not-hotspot,not-hotspot,not-hotspot
Samut Sakhon,not-hotspot,not-hotspot,not-hotspot,not-hotspot
Samut Songkhram,not-hotspot,not-hotspot,not-hotspot,not-hotspot
Saraburi,not-hotspot,not-hotspot,not-hotspot,not-hotspot
Satun,not-hotspot,not-hotspot,not-hotspot,not-hotspot
Si Sa Ket,hotspot,hotspot,hotspot,hotspot
Sing Buri,not-hotspot,not-hotspot,not-hotspot,not-hotspot
Songkhla,not-hotspot,not-hotspot,not-hotspot,not-hotspot
Sukhothai,not-hotspot,not-hotspot,not-hotspot,not-hotspot
Suphan Buri,not-hotspot,not-hotspot,not-hotspot,not-hotspot
Surat Thani,not-hotspot,not-hotspot,not-hotspot,not-hotspot
Surin,hotspot,hotspot,hotspot,hotspot
Tak,not-hotspot,not-hotspot,not-hotspot,not-hotspot
Trang,not-hotspot,not-hotspot,not-hotspot,not-hotspot
Trat,not-hotspot,not-hotspot,not-hotspot,not-hotspot
Ubon Ratchathani,hotspot,hotspot,hotspot,hotspot
Udon Thani,hotspot,hotspot,hotspot,hotspot
Uthai Thani,not-hotspot,not-hotspot,not-hotspot,not-hotspot
Uttaradit,not-hotspot,not-hotspot,not-hotspot,not-hotspot
Yala,not-hotspot,not-hotspot,not-hotspot,not-hotspot
Yasothon,hotspot,hotspot,hotspot,hotspot
