NAME_1,tn,fp,fn,tp,population,accuracy,prevalence,precision,npv,recall,specificity,f1
Amnat Charoen,0,0,285,15,300,0.05,0.05,1,0,0.05,0,0.09523809523809523
Ang Thong,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Bangkok Metropolis,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Bueng Kan,0,0,290,10,300,0.03333333333333333,0.03333333333333333,1,0,0.03333333333333333,0,0.06451612903225806
Buri Ram,0,0,293,7,300,0.023333333333333334,0.023333333333333334,1,0,0.023333333333333334,0,0.04560260586319218
Chachoengsao,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Chai Nat,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Chaiyaphum,0,0,292,8,300,0.02666666666666667,0.02666666666666667,1,0,0.02666666666666667,0,0.05194805194805195
Chanthaburi,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Chiang Mai,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Chiang Rai,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Chon Buri,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Chumphon,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Kalasin,0,0,286,14,300,0.04666666666666667,0.04666666666666667,1,0,0.04666666666666667,0,0.089171974522293
Kamphaeng Phet,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Kanchanaburi,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Khon Kaen,0,0,293,7,300,0.023333333333333334,0.023333333333333334,1,0,0.023333333333333334,0,0.04560260586319218
Krabi,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Lampang,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Lamphun,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Loei,0,0,296,4,300,0.013333333333333334,0.013333333333333334,1,0,0.013333333333333334,0,0.02631578947368421
Lop Buri,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Mae Hong Son,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Maha Sarakham,0,0,288,12,300,0.04,0.04,1,0,0.04,0,0.07692307692307693
Mukdahan,0,0,286,14,300,0.04666666666666667,0.04666666666666667,1,0,0.04666666666666667,0,0.089171974522293
Nakhon Nayok,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Nakhon Pathom,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Nakhon Phanom,0,0,292,8,300,0.02666666666666667,0.02666666666666667,1,0,0.02666666666666667,0,0.05194805194805195
Nakhon Ratchasima,0,0,300,0,300,0.0,0.0,0,0,0.0,0,0.0
Nakhon Sawan,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Nakhon Si Thammarat,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Nan,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Narathiwat,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Nong Bua Lam Phu,0,0,293,7,300,0.023333333333333334,0.023333333333333334,1,0,0.023333333333333334,0,0.04560260586319218
Nong Khai,0,0,292,8,300,0.02666666666666667,0.02666666666666667,1,0,0.02666666666666667,0,0.05194805194805195
Nonthaburi,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Pathum Thani,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Pattani,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Phangnga,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Phatthalung,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Phayao,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Phetchabun,0,0,300,0,300,0.0,0.0,0,0,0.0,0,0.0
Phetchaburi,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Phichit,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Phitsanulok,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Phra Nakhon Si Ayutthaya,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Phrae,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Phuket,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Prachin Buri,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Prachuap Khiri Khan,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Ranong,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Ratchaburi,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Rayong,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Roi Et,0,0,288,12,300,0.04,0.04,1,0,0.04,0,0.07692307692307693
Sa Kaeo,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Sakon Nakhon,0,0,295,5,300,0.016666666666666666,0.016666666666666666,1,0,0.016666666666666666,0,0.03278688524590164
Samut Prakan,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Samut Sakhon,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Samut Songkhram,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Saraburi,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Satun,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Si Sa Ket,0,0,289,11,300,0.03666666666666667,0.03666666666666667,1,0,0.03666666666666667,0,0.0707395498392283
Sing Buri,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Songkhla,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Sukhothai,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Suphan Buri,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Surat Thani,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Surin,0,0,285,15,300,0.05,0.05,1,0,0.05,0,0.09523809523809523
Tak,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Trang,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Trat,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Ubon Ratchathani,0,0,290,10,300,0.03333333333333333,0.03333333333333333,1,0,0.03333333333333333,0,0.06451612903225806
Udon Thani,0,0,295,5,300,0.016666666666666666,0.016666666666666666,1,0,0.016666666666666666,0,0.03278688524590164
Uthai Thani,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Uttaradit,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Yala,300,0,0,0,300,1.0,0.0,0,1,0.0,1,0.0
Yasothon,0,0,294,6,300,0.02,0.02,1,0,0.02,0,0.0392156862745098
