NAME_1,tn,fp,fn,tp,population,accuracy,prevalence,precision,npv,recall,specificity,f1
Amnat Charoen,0,0,0,100,100,1.0,1.0,1,0,1,0.0,1
Ang Thong,91,9,0,0,100,0.91,0.09,0,1,0,0.91,0
Bangkok Metropolis,99,1,0,0,100,0.99,0.01,0,1,0,0.99,0
Bueng Kan,0,0,0,100,100,1.0,1.0,1,0,1,0.0,1
Buri Ram,0,0,0,100,100,1.0,1.0,1,0,1,0.0,1
Chachoengsao,95,5,0,0,100,0.95,0.05,0,1,0,0.95,0
Chai Nat,94,6,0,0,100,0.94,0.06,0,1,0,0.94,0
Chaiyaphum,0,0,0,100,100,1.0,1.0,1,0,1,0.0,1
Chanthaburi,90,10,0,0,100,0.9,0.1,0,1,0,0.9,0
Chiang Mai,95,5,0,0,100,0.95,0.05,0,1,0,0.95,0
Chiang Rai,93,7,0,0,100,0.93,0.07,0,1,0,0.93,0
Chon Buri,98,2,0,0,100,0.98,0.02,0,1,0,0.98,0
Chumphon,99,1,0,0,100,0.99,0.01,0,1,0,0.99,0
Kalasin,0,0,0,100,100,1.0,1.0,1,0,1,0.0,1
Kamphaeng Phet,97,3,0,0,100,0.97,0.03,0,1,0,0.97,0
Kanchanaburi,95,5,0,0,100,0.95,0.05,0,1,0,0.95,0
Khon Kaen,55,45,0,0,100,0.55,0.45,0,1,0,0.55,0
Krabi,96,4,0,0,100,0.96,0.04,0,1,0,0.96,0
Lampang,97,3,0,0,100,0.97,0.03,0,1,0,0.97,0
Lamphun,97,3,0,0,100,0.97,0.03,0,1,0,0.97,0
Loei,0,0,0,100,100,1.0,1.0,1,0,1,0.0,1
Lop Buri,91,9,0,0,100,0.91,0.09,0,1,0,0.91,0
Mae Hong Son,94,6,0,0,100,0.94,0.06,0,1,0,0.94,0
Maha Sarakham,0,0,0,100,100,1.0,1.0,1,0,1,0.0,1
Mukdahan,0,0,0,100,100,1.0,1.0,1,0,1,0.0,1
Nakhon Nayok,93,7,0,0,100,0.93,0.07,0,1,0,0.93,0
Nakhon Pathom,96,4,0,0,100,0.96,0.04,0,1,0,0.96,0
Nakhon Phanom,0,0,0,100,100,1.0,1.0,1,0,1,0.0,1
Nakhon Ratchasima,0,0,0,100,100,1.0,1.0,1,0,1,0.0,1
Nakhon Sawan,93,7,0,0,100,0.93,0.07,0,1,0,0.93,0
Nakhon Si Thammarat,95,5,0,0,100,0.95,0.05,0,1,0,0.95,0
