NAME_1,tn,fp,fn,tp,population,accuracy,prevalence,precision,npv,recall,specificity,f1
Amnat Charoen,0,0,0,100,100,1.0,1.0,1,0,1.0,0.0,1.0
Ang Thong,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Bangkok Metropolis,0,0,0,100,100,1.0,1.0,1,0,1.0,0.0,1.0
Bueng Kan,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Buri Ram,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Chachoengsao,0,0,0,100,100,1.0,1.0,1,0,1.0,0.0,1.0
Chai Nat,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Chaiyaphum,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Chanthaburi,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Chiang Mai,0,0,0,100,100,1.0,1.0,1,0,1.0,0.0,1.0
Chiang Rai,0,0,82,18,100,0.18,0.18,1,0,0.18,0.0,0.3050847457627119
Chon Buri,0,0,0,100,100,1.0,1.0,1,0,1.0,0.0,1.0
Chumphon,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Kalasin,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Kamphaeng Phet,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Kanchanaburi,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Khon Kaen,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Krabi,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Lampang,0,0,0,100,100,1.0,1.0,1,0,1.0,0.0,1.0
Lamphun,0,0,4,96,100,0.96,0.96,1,0,0.96,0.0,0.9795918367346939
Loei,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Lop Buri,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Mae Hong Son,91,9,0,0,100,0.91,0.09,0,1,0.0,0.91,0.0
Maha Sarakham,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Mukdahan,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Nakhon Nayok,0,100,0,0,100,0.0,1.0,0,0,0.0,0.0,0.0
Nakhon Pathom,0,0,0,100,100,1.0,1.0,1,0,1.0,0.0,1.0
Nakhon Phanom,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Nakhon Ratchasima,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Nakhon Sawan,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Nakhon Si Thammarat,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Nan,91,9,0,0,100,0.91,0.09,0,1,0.0,0.91,0.0
Narathiwat,0,0,2,98,100,0.98,0.98,1,0,0.98,0.0,0.98989898989899
Nong Bua Lam Phu,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Nong Khai,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Nonthaburi,0,0,0,100,100,1.0,1.0,1,0,1.0,0.0,1.0
Pathum Thani,0,0,0,100,100,1.0,1.0,1,0,1.0,0.0,1.0
Pattani,0,0,2,98,100,0.98,0.98,1,0,0.98,0.0,0.98989898989899
Phangnga,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Phatthalung,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Phayao,91,9,0,0,100,0.91,0.09,0,1,0.0,0.91,0.0
Phetchabun,0,0,30,70,100,0.7,0.7,1,0,0.7,0.0,0.8235294117647058
Phetchaburi,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Phichit,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Phitsanulok,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Phra Nakhon Si Ayutthaya,0,100,0,0,100,0.0,1.0,0,0,0.0,0.0,0.0
Phrae,95,5,0,0,100,0.95,0.05,0,1,0.0,0.95,0.0
Phuket,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Prachin Buri,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Prachuap Khiri Khan,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Ranong,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Ratchaburi,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Rayong,0,0,0,100,100,1.0,1.0,1,0,1.0,0.0,1.0
Roi Et,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Sa Kaeo,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Sakon Nakhon,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Samut Prakan,0,0,0,100,100,1.0,1.0,1,0,1.0,0.0,1.0
Samut Sakhon,0,0,0,100,100,1.0,1.0,1,0,1.0,0.0,1.0
Samut Songkhram,0,0,0,100,100,1.0,1.0,1,0,1.0,0.0,1.0
Saraburi,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Satun,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Si Sa Ket,0,0,0,100,100,1.0,1.0,1,0,1.0,0.0,1.0
Sing Buri,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Songkhla,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Sukhothai,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Suphan Buri,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Surat Thani,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Surin,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Tak,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Trang,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Trat,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Ubon Ratchathani,0,0,0,100,100,1.0,1.0,1,0,1.0,0.0,1.0
Udon Thani,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Uthai Thani,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Uttaradit,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Yala,0,0,2,98,100,0.98,0.98,1,0,0.98,0.0,0.98989898989899
Yasothon,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
