"area","<28days","<1yr","1+","2+","3+","4+","5+","6+","7-9","10-14","15-24","25-34","35-44","45-54","55-64","65+","unknown","year"
"Amnat Charoen",0,0,1,3,1,4,12,11,24,62,27,11,4,1,0,0,0,2011
"Amnat Charoen",0,1,0,0,1,5,4,6,22,39,29,4,7,3,1,1,0,2012
"Amnat Charoen",0,2,1,3,3,6,9,16,68,127,96,19,15,7,3,3,0,2013
"Amnat Charoen",0,3,0,1,1,6,4,5,19,38,24,2,3,3,1,2,0,2014
"Amnat Charoen",0,2,2,3,4,8,6,7,51,143,122,34,24,21,5,5,0,2015
"Amnat Charoen",0,3,1,5,4,3,5,9,32,60,52,19,14,4,5,1,0,2016
"Amnat Charoen",0,1,0,0,1,5,6,4,7,23,16,8,5,3,3,1,0,2017
"Amnat Charoen",0,1,2,2,4,4,7,7,18,25,28,7,6,6,1,2,0,2018
"Amnat Charoen",0,1,1,1,3,6,8,11,55,98,78,23,9,9,8,8,0,2019
"Amnat Charoen",0,1,0,3,2,1,3,0,12,29,32,7,7,1,0,2,0,2020
"Ang Thong",0,0,0,3,4,1,0,10,23,51,71,34,10,7,9,6,0,2011
"Ang Thong",0,2,1,1,1,1,3,3,13,35,70,21,10,7,3,4,5,2012
"Ang Thong",0,1,5,0,1,4,5,3,9,22,45,19,14,7,5,3,0,2013
"Ang Thong",0,1,3,0,0,3,1,1,12,11,22,10,12,3,6,3,0,2014
"Ang Thong",0,3,3,0,9,6,10,12,44,122,249,144,64,47,41,27,0,2015
"Ang Thong",0,0,1,0,1,2,3,2,8,8,20,11,9,11,4,4,0,2016
"Ang Thong",0,0,1,2,4,0,5,6,10,31,39,23,14,10,6,4,0,2017
"Ang Thong",0,2,1,0,3,1,2,2,15,25,52,19,7,8,5,6,0,2018
"Ang Thong",0,0,1,2,2,0,1,0,13,26,22,17,12,9,3,6,0,2019
"Ang Thong",0,0,3,4,4,7,10,5,29,50,74,35,10,10,8,3,0,2020
"Bangkok",0,32,46,47,60,66,62,78,250,509,765,592,345,198,106,44,0,2011
"Bangkok",0,0,1158,813,557,346,195,156,315,0,0,0,0,0,0,0,43,2012
"Bangkok",2,51,81,89,85,99,112,134,527,1004,1572,1067,634,383,161,73,0,2013
"Bangkok",0,31,25,26,31,43,36,49,166,334,532,366,243,117,82,41,0,2014
"Bangkok",0,65,87,108,128,129,152,192,798,1711,3338,2520,1668,989,576,277,0,2015
"Bangkok",1,30,38,37,50,45,60,58,197,436,920,794,528,319,199,97,0,2016
"Bangkok",0,27,48,61,52,45,60,89,255,620,916,0,2472,0,0,0,0,2017
"Bangkok",2,37,50,42,76,65,97,93,324,627,1128,944,551,351,181,113,0,2018
"Bangkok",1,45,68,74,85,103,112,149,570,1163,2094,1759,1037,672,425,233,0,2019
"Bangkok",1,29,42,30,41,35,69,75,250,522,948,771,505,282,181,124,0,2020
"Bungkan",0,0,0,1,3,1,5,0,3,16,6,1,0,1,0,0,0,2011
"Bungkan",0,0,0,1,1,7,5,12,36,40,14,3,1,2,0,0,0,2012
"Bungkan",0,1,4,8,10,18,21,42,115,202,121,31,17,9,7,5,0,2013
"Bungkan",0,0,3,4,2,5,7,8,21,31,21,9,6,5,3,1,0,2014
"Bungkan",0,3,1,0,6,7,7,5,37,79,50,11,14,8,6,2,0,2015
"Bungkan",0,0,3,6,7,15,12,11,66,110,71,28,18,17,12,4,0,2016
"Bungkan",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2017
"Bungkan",0,0,1,0,2,2,1,5,19,37,20,6,2,1,1,1,0,2018
"Bungkan",0,10,3,10,14,27,29,43,136,205,115,34,27,17,10,2,0,2019
"Bungkan",0,8,7,6,10,9,18,14,93,160,102,53,30,22,9,6,0,2020
"Buri Ram",0,4,6,6,10,16,24,25,88,177,86,18,11,20,6,9,0,2011
"Buri Ram",0,1,8,14,32,31,39,40,215,348,182,25,24,20,15,7,0,2012
"Buri Ram",0,3,10,12,15,34,40,49,174,291,214,42,28,11,8,5,0,2013
"Buri Ram",0,4,2,7,7,10,10,12,56,64,25,4,7,3,6,3,0,2014
"Buri Ram",0,7,3,16,23,17,30,24,116,278,220,54,36,27,16,9,0,2015
"Buri Ram",0,5,9,13,12,22,31,30,72,109,70,28,24,14,9,7,0,2016
"Buri Ram",0,3,2,3,2,10,14,11,33,65,54,9,8,3,10,5,0,2017
"Buri Ram",0,7,9,13,25,26,43,59,187,300,152,29,21,13,8,8,0,2018
"Buri Ram",0,15,19,28,59,75,97,132,489,762,483,107,56,54,34,11,0,2019
"Buri Ram",0,12,10,11,9,25,35,39,144,269,237,66,27,27,15,12,0,2020
"Chachoengsao",0,2,1,5,4,3,9,9,30,89,156,105,55,34,16,15,0,2011
"Chachoengsao",0,3,3,7,8,14,19,13,70,109,173,97,32,28,27,21,1,2012
"Chachoengsao",0,4,2,5,4,8,8,13,34,58,83,35,21,8,4,8,0,2013
"Chachoengsao",0,0,2,0,3,3,3,8,15,29,53,11,8,5,2,1,0,2014
"Chachoengsao",1,6,3,9,17,15,28,22,110,291,528,310,170,119,51,32,0,2015
"Chachoengsao",0,0,0,4,5,7,7,10,23,44,67,54,41,25,12,6,0,2016
"Chachoengsao",0,2,2,1,2,5,9,12,24,38,66,67,40,30,16,18,0,2017
