"area","<28days","<1yr","1+","2+","3+","4+","5+","6+","7-9","10-14","15-24","25-34","35-44","45-54","55-64","65+","unknown","year"
"Amnat Charoen",0,1,0,3,2,1,3,0,12,29,32,7,7,1,0,2,0,2020
"Ang Thong",0,0,3,4,4,7,10,5,29,50,74,35,10,10,8,3,0,2020
"Bangkok",1,29,42,30,41,35,69,75,250,522,948,771,505,282,181,124,0,2020
"Bungkan",0,8,7,6,10,9,18,14,93,160,102,53,30,22,9,6,0,2020
"Buri Ram",0,12,10,11,9,25,35,39,144,269,237,66,27,27,15,12,0,2020
"Chachoengsao",0,0,1,2,0,3,1,4,5,25,46,20,11,9,7,3,0,2020
"Chai Nat",0,2,6,1,5,3,8,13,61,122,149,65,29,18,10,13,0,2020
"Chaiyaphum",0,19,33,27,29,53,73,79,339,598,446,120,47,35,12,10,0,2020
"Chanthaburi",0,1,6,4,6,4,11,13,41,69,158,102,51,59,38,25,0,2020
"Chiang Mai",0,12,21,17,22,18,34,27,125,264,580,639,466,250,169,96,0,2020
"Chiang Rai",0,13,22,4,16,7,18,16,70,136,296,246,182,169,165,118,0,2020
"Chon Buri",0,12,20,19,19,27,27,49,172,386,420,271,120,85,43,24,0,2020
"Chumphon",0,3,6,3,2,1,4,6,21,62,76,42,12,12,5,2,0,2020
"Kalasin",0,6,2,6,9,10,24,25,74,215,154,46,17,14,8,4,0,2020
"Kamphaeng Phet",0,2,4,4,4,8,5,8,41,53,57,20,10,5,3,1,0,2020
"Kanchanaburi",0,5,5,8,2,0,3,8,31,43,44,28,13,9,7,3,0,2020
"Khon Kaen",0,27,34,28,47,47,75,78,347,662,531,200,69,46,38,22,0,2020
"Krabi",0,3,3,3,0,5,6,4,15,27,31,11,6,2,2,2,0,2020
"Lampang",0,7,5,6,7,3,13,8,46,122,240,138,61,53,63,49,0,2020
"Lamphun",0,0,0,0,0,1,1,0,2,14,21,20,23,18,21,22,0,2020
"Loei",0,4,12,19,19,11,23,19,109,199,155,49,27,19,17,20,0,2020
"Lop Buri",0,6,6,8,7,9,13,17,86,156,190,86,41,29,15,14,0,2020
"Mae Hong Son",0,4,5,10,19,21,19,23,95,212,317,255,162,131,80,46,0,2020
"Maha Sarakham",0,6,9,12,17,16,29,40,161,277,224,55,17,12,16,4,0,2020
"Mukdahan",0,2,1,2,4,13,11,9,45,81,105,41,19,15,10,6,0,2020
"Nakhon Nayok",0,1,1,1,1,0,3,4,9,22,29,12,4,2,0,1,0,2020
"Nakhon Pathom",0,6,6,10,13,6,14,15,58,128,185,103,51,26,32,16,0,2020
"Nakhon Phanom",0,5,3,4,8,5,9,8,49,106,100,28,16,18,11,7,0,2020
"Nakhon Ratchasima",2,47,57,60,90,93,132,162,626,1089,1104,478,202,119,63,67,0,2020
"Nakhon Sawan",0,5,20,19,12,25,31,31,123,222,236,108,48,38,23,19,0,2020
"Nakhon Si Thammarat",0,10,15,10,12,13,24,14,82,142,183,82,53,29,31,22,0,2020
"Nan",0,0,2,0,0,2,2,1,9,27,53,32,27,31,24,13,0,2020
"Narathiwat",0,1,3,0,1,3,7,6,20,38,47,30,18,10,8,8,0,2020
"Nong Bua Lam Phu",0,2,2,3,2,6,8,6,22,51,23,15,2,5,1,0,0,2020
"Nong Khai",0,3,2,2,6,5,18,15,49,106,118,42,21,26,6,3,0,2020
"Nonthaburi",0,4,6,2,5,3,7,8,33,67,92,71,44,27,18,14,0,2020
"P.Nakhon S.Ayutthaya",0,5,2,7,5,5,3,7,31,75,76,24,7,11,8,10,0,2020
"Pathum Thani",0,3,4,3,2,1,8,2,25,54,62,11,11,9,12,5,0,2020
"Pattani",0,1,3,4,4,4,3,15,22,37,51,19,11,6,5,2,0,2020
"Phangnga",0,0,10,8,7,13,10,7,35,70,57,45,28,23,9,5,0,2020
"Phatthalung",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
"Phayao",0,1,0,0,5,1,0,4,7,13,52,23,19,16,31,15,0,2020
"Phetchabun",0,1,5,6,4,9,9,15,82,148,147,75,47,31,18,12,0,2020
"Phetchaburi",0,12,14,4,5,3,7,6,24,44,58,41,11,10,11,8,0,2020
"Phichit",0,1,6,2,1,2,0,6,28,66,84,31,19,11,2,9,0,2020
"Phitsanulok",0,5,3,3,9,4,13,21,66,152,166,94,58,32,30,21,0,2020
"Phrae",0,0,0,1,1,0,2,1,13,22,35,21,14,19,24,11,0,2020
"Phuket",0,1,0,1,0,6,3,0,8,18,13,20,16,7,5,1,0,2020
"Prachin Buri",0,5,6,7,5,5,4,11,47,88,120,89,43,14,17,12,0,2020
"Prachuap Khiri Khan",0,1,0,0,0,0,1,1,11,17,23,20,13,5,4,0,0,2020
"Ranong",0,1,1,1,0,2,5,2,11,30,28,23,5,10,3,2,0,2020
"Ratchaburi",0,10,10,4,11,9,12,12,52,132,148,78,54,31,20,18,0,2020
"Rayong",0,14,25,23,25,25,34,37,178,301,449,365,162,110,39,21,0,2020
"Roi Et",0,10,13,5,17,20,28,41,162,272,240,73,27,18,9,7,0,2020
"Sa Kaeo",0,2,4,4,4,5,13,10,65,104,91,45,9,9,7,4,0,2020
"Sakon Nakhon",0,3,3,2,2,1,3,2,24,48,21,18,12,6,7,2,0,2020
"Samut Prakan",0,11,8,7,11,5,14,12,64,152,111,40,14,26,13,7,0,2020
"Samut Sakhon",0,3,7,5,5,5,7,10,33,59,78,50,31,26,9,8,0,2020
"Samut Songkhram",0,0,0,0,0,1,3,1,4,4,11,18,10,5,5,1,0,2020
"Saraburi",0,1,2,2,1,5,6,5,41,80,75,33,18,9,9,4,0,2020
"Satun",0,1,1,1,1,0,0,0,4,4,6,2,3,4,0,0,0,2020
"Si Sa Ket",0,8,4,6,7,11,16,25,98,235,202,79,39,25,24,11,0,2020
"Sing Buri",0,1,0,4,4,4,4,8,30,69,64,33,12,11,5,8,0,2020
"Songkhla",0,12,6,9,13,12,13,30,83,120,157,72,45,37,17,2,0,2020
"Sukhothai",0,3,4,8,13,3,9,10,53,167,175,66,20,15,4,5,0,2020
"Suphan Buri",0,0,7,5,6,7,6,8,42,86,90,58,32,24,10,7,0,2020
"Surat Thani",0,5,2,3,12,6,8,9,38,82,81,46,27,14,8,8,0,2020
"Surin",1,15,21,19,21,33,55,82,298,525,360,151,91,69,42,24,0,2020
"Tak",1,3,2,2,2,2,3,4,32,85,133,109,59,31,24,23,0,2020
"Trang",0,0,1,0,2,0,0,1,8,18,37,24,14,6,4,5,0,2020
"Trat",0,3,4,2,0,2,8,3,15,39,22,31,19,6,6,2,0,2020
"Ubon Ratchathani",0,38,61,32,26,44,55,81,242,472,526,191,113,63,56,58,0,2020
"Udon Thani",0,5,6,11,6,11,16,21,98,177,156,86,24,14,12,14,0,2020
"Uthai Thani",0,0,3,3,0,0,4,8,16,41,43,34,26,4,1,5,0,2020
"Uttaradit",0,2,4,4,4,2,7,11,48,119,153,95,38,31,25,10,0,2020
"Yala",0,4,2,2,1,5,7,13,36,53,68,38,18,17,8,5,0,2020
"Yasothon",0,3,0,2,7,0,4,4,32,70,54,15,11,13,9,2,0,2020
