"area","<28days","<1yr","1+","2+","3+","4+","5+","6+","7-9","10-14","15-24","25-34","35-44","45-54","55-64","65+","unknown","year"
"Amnat Charoen",0,2,1,3,3,6,9,16,68,127,96,19,15,7,3,3,0,2013
"Ang Thong",0,1,5,0,1,4,5,3,9,22,45,19,14,7,5,3,0,2013
"Bangkok",2,51,81,89,85,99,112,134,527,1004,1572,1067,634,383,161,73,0,2013
"Bungkan",0,1,4,8,10,18,21,42,115,202,121,31,17,9,7,5,0,2013
"Buri Ram",0,3,10,12,15,34,40,49,174,291,214,42,28,11,8,5,0,2013
"Chachoengsao",0,4,2,5,4,8,8,13,34,58,83,35,21,8,4,8,0,2013
"Chai Nat",0,3,4,0,1,3,5,10,22,53,54,19,13,8,5,5,0,2013
"Chaiyaphum",0,5,7,13,17,18,22,29,114,237,144,40,20,7,4,1,0,2013
"Chanthaburi",0,4,4,13,20,29,33,28,88,175,202,109,66,34,19,7,0,2013
"Chiang Mai",3,26,26,34,52,60,93,92,370,1031,2720,1693,975,845,483,210,0,2013
"Chiang Rai",0,41,54,79,97,96,88,131,491,1323,2733,1760,1372,1272,821,396,0,2013
"Chon Buri",0,10,17,8,17,6,17,15,64,145,153,85,46,19,7,5,0,2013
"Chumphon",0,13,10,9,7,26,26,27,109,191,218,108,59,26,15,8,0,2013
"Kalasin",0,9,8,8,10,16,15,21,92,239,199,46,10,19,7,7,0,2013
"Kamphaeng Phet",0,8,6,8,18,13,19,27,88,203,170,65,24,12,6,3,0,2013
"Kanchanaburi",0,5,5,5,7,5,16,11,25,47,38,26,8,6,1,3,0,2013
"Khon Kaen",0,4,16,17,25,37,43,37,193,474,582,125,68,31,15,10,0,2013
"Krabi",0,5,12,8,16,15,24,25,82,136,157,95,37,32,8,2,0,2013
"Lampang",0,2,12,15,21,26,30,43,173,477,904,330,181,182,105,46,0,2013
"Lamphun",0,0,1,1,3,2,7,6,30,83,285,195,117,94,65,28,0,2013
"Loei",0,8,16,24,24,33,50,55,226,562,502,183,120,69,35,20,0,2013
"Lop Buri",0,4,5,12,15,19,17,23,109,145,100,26,11,8,3,1,0,2013
"Mae Hong Son",0,6,5,3,3,10,15,14,57,198,415,323,193,122,59,50,0,2013
"Maha Sarakham",0,11,7,22,26,37,42,67,252,588,523,69,35,13,9,5,0,2013
"Mukdahan",0,4,2,7,8,15,13,17,70,194,210,50,34,17,10,1,0,2013
"Nakhon Nayok",0,1,1,4,2,4,2,6,21,67,105,23,10,13,5,1,0,2013
"Nakhon Pathom",0,9,8,1,12,12,8,8,44,103,144,59,27,24,11,5,0,2013
"Nakhon Phanom",0,6,8,15,22,21,31,55,171,404,328,96,48,18,8,4,0,2013
"Nakhon Ratchasima",0,39,46,67,89,96,83,105,402,722,720,285,133,64,29,14,0,2013
"Nakhon Sawan",0,9,11,19,10,14,18,29,102,208,266,108,45,21,15,6,0,2013
"Nakhon Si Thammarat",0,12,24,31,26,41,48,47,195,448,556,235,128,71,39,38,1,2013
"Nan",0,1,2,2,5,0,6,10,23,94,243,118,89,65,41,16,0,2013
"Narathiwat",0,1,1,2,3,2,4,8,33,63,132,107,83,52,29,18,0,2013
"Nong Bua Lam Phu",0,4,6,4,11,13,16,20,77,146,83,16,12,7,3,4,0,2013
"Nong Khai",0,0,4,10,10,14,24,21,100,221,153,45,25,14,17,7,0,2013
"Nonthaburi",0,2,8,8,13,13,12,15,53,126,198,84,59,35,19,9,0,2013
"P.Nakhon S.Ayutthaya",0,3,2,4,1,5,4,6,26,48,62,36,13,9,5,2,0,2013
"Pathum Thani",0,2,5,4,5,8,13,13,46,100,159,56,35,11,8,1,0,2013
"Pattani",0,3,7,5,15,10,14,15,46,85,115,30,25,15,13,4,0,2013
"Phangnga",0,8,5,15,10,14,18,25,57,98,127,93,69,38,21,16,0,2013
"Phatthalung",0,12,12,14,9,16,34,32,98,188,229,100,75,36,33,22,0,2013
"Phayao",0,3,6,6,7,9,8,12,53,142,203,70,56,47,30,14,0,2013
"Phetchabun",0,13,3,18,27,29,43,54,175,424,292,86,32,23,13,5,0,2013
"Phetchaburi",0,4,3,10,10,14,9,14,52,108,136,51,32,22,15,9,0,2013
"Phichit",0,2,5,6,5,5,7,11,35,81,106,48,38,18,9,7,0,2013
"Phitsanulok",0,2,1,3,7,9,16,14,84,205,286,99,60,30,12,5,0,2013
"Phrae",0,1,2,4,4,6,9,7,65,150,202,76,40,31,20,9,0,2013
"Phuket",0,9,20,22,30,15,23,20,89,160,435,297,168,80,44,22,1,2013
"Prachin Buri",0,5,3,12,8,9,12,26,78,138,186,67,34,20,8,14,0,2013
"Prachuap Khiri Khan",0,0,4,4,5,7,6,7,17,45,65,39,20,12,5,4,0,2013
"Ranong",0,0,1,4,3,5,2,4,18,53,59,24,17,12,4,2,0,2013
"Ratchaburi",0,7,13,13,14,24,28,21,86,190,237,96,55,37,19,8,0,2013
"Rayong",0,8,10,11,9,13,14,24,67,172,294,177,86,51,13,7,0,2013
"Roi Et",2,12,15,28,25,49,45,75,350,735,555,129,61,38,29,16,0,2013
"Sa Kaeo",0,2,4,3,9,6,16,20,57,118,80,28,13,9,3,3,0,2013
"Sakon Nakhon",0,4,1,6,5,8,11,18,73,176,146,48,21,16,7,3,0,2013
"Samut Prakan",0,8,11,18,14,18,17,29,112,192,213,79,47,25,11,6,0,2013
"Samut Sakhon",0,14,19,16,23,15,17,32,61,106,107,45,28,14,6,6,0,2013
"Samut Songkhram",0,2,0,1,2,0,1,1,12,17,80,44,26,9,3,2,0,2013
"Saraburi",0,3,3,3,9,7,12,15,70,153,125,56,26,12,10,2,0,2013
"Satun",0,2,5,6,9,5,10,3,37,82,52,19,7,6,1,1,0,2013
"Si Sa Ket",0,19,15,35,62,70,74,125,457,1050,868,199,123,59,31,18,0,2013
"Sing Buri",0,0,0,0,1,0,0,0,2,3,6,1,2,3,0,0,0,2013
"Songkhla",0,21,15,30,41,48,45,78,261,439,504,285,142,85,36,6,0,2013
"Sukhothai",0,6,4,6,4,6,13,8,49,122,111,28,10,11,6,10,0,2013
"Suphan Buri",0,1,1,5,7,6,2,7,35,62,77,43,20,15,2,4,0,2013
"Surat Thani",0,9,7,6,17,10,19,29,119,315,437,240,95,36,13,14,0,2013
"Surin",0,23,16,43,76,71,107,145,478,988,595,99,62,44,26,13,1,2013
"Tak",1,4,8,12,14,21,23,21,93,201,260,153,71,29,14,13,0,2013
"Trang",0,2,3,8,6,6,12,12,34,88,82,42,33,11,10,4,0,2013
"Trat",0,3,4,6,6,6,11,14,45,81,146,89,52,23,6,12,0,2013
"Ubon Ratchathani",0,24,17,24,38,35,48,56,197,529,564,119,75,38,22,11,0,2013
"Udon Thani",0,8,6,5,11,14,13,14,72,153,125,46,19,11,5,2,0,2013
"Uthai Thani",0,0,3,5,4,6,8,8,29,59,56,22,11,13,3,1,0,2013
"Uttaradit",0,3,1,2,1,2,2,7,40,83,141,44,19,15,8,1,0,2013
"Yala",0,0,0,3,6,7,10,6,32,51,107,57,32,27,7,3,0,2013
"Yasothon",0,0,2,4,7,6,9,17,78,167,139,17,11,8,3,0,0,2013
