"area","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","total"
"Amnat Charoen",1,3,2,2,4,34,29,2,5,1,0,0,83
"Ang Thong",6,3,2,2,7,12,31,27,27,16,14,8,155
"Bangkok",200,127,119,111,155,331,630,704,520,563,737,448,4645
"Bungkan",0,0,0,0,0,0,1,0,1,0,0,0,2
"Buri Ram",6,7,3,14,21,47,36,39,28,21,8,2,232
"Chachoengsao",13,6,5,11,13,35,48,53,68,29,24,27,332
"Chai Nat",2,0,1,8,3,19,24,22,18,4,11,4,116
"Chaiyaphum",13,3,7,5,13,80,53,44,24,11,10,0,263
"Chanthaburi",5,13,8,18,28,41,48,47,29,17,8,4,266
"Chiang Mai",33,23,27,37,114,232,413,256,131,117,74,53,1510
"Chiang Rai",14,13,5,17,50,271,328,316,238,158,137,57,1604
"Chon Buri",27,20,22,26,39,76,96,36,33,44,48,42,509
"Chumphon",11,13,19,19,43,29,29,25,28,30,40,13,299
"Kalasin",15,5,6,5,25,125,112,87,31,27,5,1,444
"Kamphaeng Phet",1,3,9,17,13,66,116,52,63,25,12,6,383
"Kanchanaburi",4,1,1,1,4,12,18,15,4,4,10,3,77
"Khon Kaen",6,2,3,4,16,38,45,43,25,10,7,3,202
"Krabi",3,8,9,9,12,21,28,28,17,10,21,14,180
"Lampang",4,8,8,12,34,40,66,36,24,14,10,8,264
"Lamphun",3,2,6,7,17,16,50,56,12,12,11,4,196
"Loei",5,4,5,12,40,42,50,39,27,17,6,4,251
"Lop Buri",8,12,7,1,4,7,16,46,32,21,10,5,169
"Mae Hong Son",2,6,6,10,33,61,66,80,47,31,26,16,384
"Maha Sarakham",9,18,8,9,14,45,48,39,30,13,13,7,253
"Mukdahan",3,9,12,13,19,64,42,21,11,6,4,0,204
"Nakhon Nayok",1,1,2,1,7,4,3,3,5,0,0,1,28
"Nakhon Pathom",10,5,15,9,18,37,60,85,81,79,72,59,530
"Nakhon Phanom",2,1,3,12,12,16,21,15,5,4,2,1,94
"Nakhon Ratchasima",18,14,26,28,104,193,227,224,93,49,36,14,1026
"Nakhon Sawan",9,6,7,10,9,41,67,94,46,30,41,20,380
"Nakhon Si Thammarat",158,173,133,138,201,197,187,187,154,187,199,149,2063
"Nan",10,7,2,13,67,63,58,33,17,18,14,2,304
"Narathiwat",81,68,47,12,22,24,19,20,27,15,18,16,369
"Nong Bua Lam Phu",0,0,2,1,13,11,20,13,6,3,2,1,72
"Nong Khai",0,0,2,3,11,20,22,18,9,8,5,6,104
"Nonthaburi",26,13,9,7,20,47,38,58,61,65,83,47,474
"P.Nakhon S.Ayutthaya",8,7,7,11,15,21,44,33,25,15,11,7,204
"Pathum Thani",10,12,6,15,11,17,18,19,23,19,25,14,189
"Pattani",89,52,24,10,15,21,19,8,11,11,10,5,275
"Phangnga",14,18,9,25,39,59,51,39,29,36,44,36,399
"Phatthalung",99,80,59,42,39,43,34,17,0,0,0,0,413
"Phayao",0,0,0,3,13,11,13,5,8,6,0,2,61
"Phetchabun",0,3,6,9,17,39,67,39,23,9,10,7,229
"Phetchaburi",24,18,19,11,32,84,177,120,80,36,46,24,671
"Phichit",3,3,8,14,25,56,84,68,47,30,29,24,391
"Phitsanulok",8,3,12,17,38,65,72,74,43,19,23,14,388
"Phrae",1,3,2,2,5,6,9,5,5,0,0,0,38
"Phuket",11,16,11,15,39,53,28,22,17,15,26,48,301
"Prachin Buri",17,4,7,11,20,62,83,88,32,20,18,10,372
"Prachuap Khiri Khan",12,11,6,8,14,30,27,39,11,12,13,16,199
"Ranong",9,10,17,20,25,25,12,11,11,7,13,6,166
"Ratchaburi",10,3,6,5,7,22,47,66,65,49,55,55,390
"Rayong",11,11,8,27,39,39,55,47,22,13,32,43,347
"Roi Et",9,7,8,15,26,115,89,74,29,11,4,3,390
"Sa Kaeo",1,4,5,9,32,90,66,86,23,10,6,0,332
"Sakon Nakhon",3,1,6,10,35,26,21,27,3,2,1,0,135
"Samut Prakan",25,20,23,15,14,33,77,64,41,42,45,28,427
"Samut Sakhon",8,8,12,5,20,41,51,74,76,54,70,82,501
"Samut Songkhram",2,0,2,5,0,3,8,17,28,17,20,16,118
"Saraburi",10,5,2,4,8,21,42,46,11,3,4,0,156
"Satun",2,3,5,2,5,3,1,2,4,5,5,3,40
"Si Sa Ket",15,9,14,5,20,106,105,101,62,43,30,15,525
"Sing Buri",0,1,0,0,1,2,2,1,0,0,0,0,7
"Songkhla",317,175,104,63,77,97,57,48,38,39,45,52,1112
"Sukhothai",1,4,0,2,2,18,26,43,24,12,13,3,148
"Suphan Buri",11,12,11,7,25,31,61,42,33,29,27,26,315
"Surat Thani",71,72,76,79,74,117,63,81,75,64,70,70,912
"Surin",22,11,30,39,101,241,216,139,64,30,10,5,908
"Tak",4,2,7,5,50,175,213,192,104,72,44,31,899
"Trang",2,2,2,5,9,17,13,13,11,12,7,9,102
"Trat",5,2,2,2,6,13,8,10,6,7,4,4,69
"Ubon Ratchathani",7,15,18,12,55,106,138,81,55,29,7,5,528
"Udon Thani",2,0,2,4,14,27,36,22,13,2,4,1,127
"Uthai Thani",1,0,0,0,2,9,14,13,12,13,6,11,81
"Uttaradit",2,7,4,2,27,30,47,52,22,11,3,3,210
"Yala",43,13,13,9,8,13,4,4,7,15,14,17,160
"Yasothon",0,5,3,26,21,27,25,17,9,6,0,2,141
