"area","year","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","total"
"Amnat Charoen",2011,5.37286327943456e-06,5.37286327943456e-06,8.05929491915184e-06,1.34321581985864e-05,0.000107457265588691,0.000107457265588691,0.000104770833948974,3.76100429560419e-05,2.68643163971728e-05,5.37286327943456e-06,1.07457265588691e-05,0,0.000432515493994482
"Amnat Charoen",2012,0,0,2.67741918210199e-06,0,3.21290301852239e-05,4.55161260957338e-05,0.000101741928919876,5.89032220062437e-05,4.28387069136318e-05,1.87419342747139e-05,1.33870959105099e-05,1.33870959105099e-05,0.000329322559398545
"Amnat Charoen",2013,8.00644785934272e-06,1.86817116717997e-05,1.86817116717997e-05,6.13827669216276e-05,0.000197492380530454,0.00024553106768651,0.000250868699592739,0.000125434349796369,5.87139509685133e-05,2.13505276249139e-05,0,2.66881595311424e-06,0.00100881243027718
"Amnat Charoen",2014,0,2.66396717992434e-06,1.06558687196974e-05,0,1.06558687196974e-05,1.86477702594704e-05,7.99190153977303e-05,4.79514092386382e-05,3.99595076988651e-05,4.26234748787895e-05,2.93036389791678e-05,1.59838030795461e-05,0.000298364324151526
"Amnat Charoen",2015,2.65687519594455e-06,7.97062558783364e-06,1.06275007837782e-05,5.31375039188909e-06,2.922562715539e-05,0.000170040012540451,0.000241775642830954,0.000294913146749845,0.000212550015675564,9.29906318580591e-05,6.11081295067246e-05,3.18825023513345e-05,0.00116105446062777
"Amnat Charoen",2016,2.91684344505728e-05,3.71234620280017e-05,4.77301654645736e-05,3.18201103097157e-05,2.38650827322868e-05,6.36402206194315e-05,0.000145842172252864,9.81120067882902e-05,4.50784896054306e-05,3.44717861688587e-05,1.32583792957149e-05,5.30335171828596e-06,0.000575413661434026
"Amnat Charoen",2017,2.64475399820686e-06,7.93426199462057e-06,5.28950799641371e-06,5.28950799641371e-06,1.05790159928274e-05,8.99216359390331e-05,7.66978659479988e-05,5.28950799641371e-06,1.32237699910343e-05,2.64475399820686e-06,0,0,0.000219514581851169
"Amnat Charoen",2018,0,0,5.28232718206333e-06,2.64116359103167e-06,2.3770472319285e-05,9.77230528681716e-05,5.28232718206333e-05,6.07467625937283e-05,4.22586174565066e-05,2.90527995013483e-05,2.64116359103167e-06,0,0.0003169396309238
"Amnat Charoen",2019,2.37819669272113e-05,5.28488153938029e-06,1.58546446181409e-05,2.37819669272113e-05,0.000153261564642029,0.000126837156945127,7.39883415513241e-05,6.34185784725635e-05,0.00017440109079955,0.000124194716175437,5.54912561634931e-05,2.64244076969015e-06,0.000842938605531157
"Amnat Charoen",2020,0,5.31639176490916e-06,1.06327835298183e-05,2.65819588245458e-06,3.45565464719095e-05,4.78475258841824e-05,7.17712888262736e-05,6.11385052964553e-05,2.39237629420912e-05,7.97458764736374e-06,0,0,0.000265819588245458
"Ang Thong",2011,3.52037062461936e-06,5.63259299939098e-05,1.40814824984774e-05,5.28055593692904e-05,8.09685243662453e-05,0.000168977789981729,0.000147855566234013,9.50500068647227e-05,3.16833356215742e-05,7.39277831170066e-05,5.28055593692904e-05,2.81629649969549e-05,0.000806164873037833
"Ang Thong",2012,3.87484940926159e-05,2.8180722976448e-05,3.52259037205599e-05,4.93162652087839e-05,2.4658132604392e-05,5.98840363249519e-05,4.57936748367279e-05,8.10195785572879e-05,0.000109200301533736,6.34066266970079e-05,5.98840363249519e-05,3.87484940926159e-05,0.000634066266970079
"Ang Thong",2013,5.63912424400491e-05,3.52445265250307e-05,2.81956212200245e-05,2.46711685675215e-05,3.17200738725276e-05,5.99156950925521e-05,5.63912424400491e-05,7.75379583550675e-05,5.63912424400491e-05,4.22934318300368e-05,1.40978106100123e-05,2.11467159150184e-05,0.000503996729307939
