"area","<28days","<1yr","1+","2+","3+","4+","5+","6+","7-9","10-14","15-24","25-34","35-44","45-54","55-64","65+","unknown","year"
"Amnat Charoen",0,2,0,1,1,2,8,5,15,56,39,8,1,2,1,2,0,2011
"Amnat Charoen",0,0,0,2,3,1,1,1,13,28,33,6,4,3,2,0,0,2012
"Amnat Charoen",0,0,0,1,1,3,4,5,19,53,37,7,4,2,0,1,0,2013
"Amnat Charoen",0,0,0,0,0,0,1,1,2,4,5,2,0,3,0,1,0,2014
"Amnat Charoen",0,2,1,0,1,0,1,2,10,48,60,8,12,8,2,1,0,2015
"Amnat Charoen",0,0,1,2,0,1,1,3,15,29,26,14,6,7,5,3,0,2016
"Amnat Charoen",0,0,0,1,0,0,1,0,5,13,17,1,3,2,3,2,0,2017
"Amnat Charoen",0,0,0,0,0,3,0,3,4,24,20,8,7,3,1,2,0,2018
"Amnat Charoen",0,1,3,0,2,4,5,4,20,58,83,16,17,10,2,2,0,2019
"Amnat Charoen",0,0,0,1,0,0,2,0,6,25,14,10,4,0,2,0,0,2020
"Ang Thong",0,1,0,0,2,2,1,4,7,24,47,18,13,6,3,1,0,2011
"Ang Thong",0,1,1,0,0,0,3,3,9,16,29,12,10,3,1,3,1,2012
"Ang Thong",0,0,0,0,0,1,1,2,5,20,27,11,13,4,0,1,0,2013
"Ang Thong",0,0,0,0,3,1,1,1,6,12,13,11,0,4,1,2,0,2014
"Ang Thong",0,0,1,2,2,2,2,3,8,58,81,46,27,23,15,8,0,2015
"Ang Thong",0,1,0,1,1,1,0,1,3,8,14,11,8,3,2,5,0,2016
"Ang Thong",0,0,1,2,0,1,0,2,5,10,30,23,15,9,4,8,0,2017
"Ang Thong",0,1,1,1,0,0,1,4,5,17,34,17,13,6,6,3,0,2018
"Ang Thong",0,0,1,0,1,0,1,1,13,30,54,23,15,11,8,3,0,2019
"Ang Thong",0,1,1,1,0,1,2,2,12,44,68,44,16,13,15,9,0,2020
"Bangkok",1,54,51,76,82,97,115,125,470,1117,1923,1492,860,473,242,124,0,2011
"Bangkok",0,0,1991,1592,1010,593,392,240,489,0,0,0,0,0,0,0,70,2012
"Bangkok",1,49,48,55,84,88,119,136,533,1327,2518,1685,1018,553,277,150,0,2013
"Bangkok",0,18,9,13,16,21,30,40,152,326,703,563,325,194,116,50,0,2014
"Bangkok",1,60,47,72,94,91,102,127,600,1572,3391,3010,2011,1211,733,345,0,2015
"Bangkok",1,12,19,21,27,23,31,44,151,370,851,884,558,321,203,113,0,2016
"Bangkok",0,26,18,29,29,46,43,51,195,569,883,0,2652,0,0,0,0,2017
"Bangkok",1,19,21,35,38,50,54,71,233,524,1071,944,603,318,208,123,0,2018
"Bangkok",0,15,19,32,37,49,50,58,229,545,1355,1231,786,492,283,169,0,2019
"Bangkok",0,4,11,11,10,9,17,21,88,204,540,544,362,203,121,73,0,2020
"Bungkan",0,0,0,1,0,1,0,1,5,6,2,1,0,0,0,0,0,2011
"Bungkan",0,0,0,2,0,1,1,1,14,26,14,2,1,1,0,0,0,2012
"Bungkan",0,4,3,2,10,7,12,19,94,148,130,43,26,11,0,0,0,2013
"Bungkan",0,0,1,0,1,0,0,1,6,6,13,4,1,0,1,0,0,2014
"Bungkan",0,0,1,1,1,0,0,3,8,29,35,15,5,8,1,2,0,2015
"Bungkan",0,0,0,0,4,6,5,7,28,75,50,24,22,9,2,1,0,2016
"Bungkan",0,2,0,1,1,3,3,3,20,55,46,26,22,15,5,3,0,2017
"Bungkan",0,5,0,0,1,0,2,4,15,21,28,15,8,3,1,1,0,2018
"Bungkan",0,5,1,0,1,5,5,4,27,37,58,25,7,9,2,0,0,2019
"Bungkan",0,3,0,1,2,1,2,1,18,44,28,14,5,2,6,0,0,2020
"Buri Ram",0,12,13,18,19,43,42,59,230,392,245,41,28,18,8,9,0,2011
"Buri Ram",0,16,2,20,31,33,55,63,240,476,290,58,39,23,5,6,0,2012
"Buri Ram",0,22,11,15,31,47,45,65,224,488,436,95,41,23,11,9,0,2013
"Buri Ram",0,9,4,5,12,7,13,10,44,80,44,16,6,4,5,1,0,2014
"Buri Ram",1,15,2,8,15,17,18,29,156,289,307,88,69,33,21,12,0,2015
"Buri Ram",0,4,5,2,5,9,7,10,45,82,58,17,19,10,9,8,0,2016
"Buri Ram",0,5,5,2,5,12,8,13,46,123,101,31,14,5,7,10,0,2017
"Buri Ram",0,3,2,6,8,13,15,31,86,207,144,34,21,8,8,7,0,2018
"Buri Ram",0,12,10,12,19,23,42,62,246,420,380,87,34,22,14,15,0,2019
"Buri Ram",0,4,2,1,0,3,17,16,52,105,111,28,11,8,9,8,0,2020
"Chachoengsao",0,3,2,9,6,9,11,25,65,211,442,279,161,76,44,30,0,2011
"Chachoengsao",0,10,2,10,14,11,9,19,64,149,279,170,85,46,31,10,0,2012
"Chachoengsao",0,3,2,2,5,2,6,7,27,64,143,65,33,16,1,2,0,2013
"Chachoengsao",0,0,1,0,1,1,2,2,11,25,51,35,16,11,7,0,0,2014
"Chachoengsao",0,4,2,2,2,4,12,13,25,104,180,145,67,46,33,10,0,2015
"Chachoengsao",0,1,1,2,0,3,1,2,5,11,17,13,15,10,6,3,0,2016
"Chachoengsao",0,0,1,1,5,2,5,1,5,16,22,15,15,11,4,1,0,2017
"Chachoengsao",0,1,0,5,4,3,10,8,29,76,131,82,48,31,14,1,0,2018
"Chachoengsao",0,3,3,3,1,5,4,10,33,82,151,49,32,17,16,6,0,2019
"Chachoengsao",0,0,0,0,1,0,1,1,5,9,33,7,4,9,1,0,0,2020
"Chai Nat",0,1,0,1,4,2,3,2,12,31,50,19,9,10,6,1,0,2011
"Chai Nat",0,1,0,3,1,0,6,3,19,36,55,9,11,6,6,2,0,2012
"Chai Nat",0,2,4,1,2,4,1,1,18,31,56,37,16,10,5,3,0,2013
"Chai Nat",0,0,0,0,0,0,0,1,1,5,5,2,3,6,1,3,0,2014
"Chai Nat",0,2,0,1,1,0,4,2,9,25,61,52,23,17,8,4,0,2015
"Chai Nat",0,0,1,1,2,1,1,0,2,6,11,8,4,1,3,1,0,2016
"Chai Nat",0,0,0,0,0,0,0,1,4,13,24,16,8,8,1,1,0,2017
"Chai Nat",0,0,0,1,1,0,0,0,2,5,18,13,8,2,2,3,0,2018
"Chai Nat",0,0,0,1,0,1,2,0,6,26,22,14,13,8,1,0,0,2019
"Chai Nat",0,0,1,1,0,1,4,2,17,40,59,33,18,13,9,4,0,2020
"Chaiyaphum",0,10,8,3,11,9,20,24,61,167,117,32,11,7,6,5,0,2011
"Chaiyaphum",0,7,7,8,7,9,23,24,93,199,150,28,26,7,2,0,0,2012
"Chaiyaphum",0,9,6,13,8,9,12,17,97,208,228,57,26,16,5,5,0,2013
"Chaiyaphum",0,4,2,1,1,4,6,11,34,70,71,29,15,7,4,1,0,2014
"Chaiyaphum",0,3,7,10,12,11,32,25,117,284,369,156,78,49,24,17,0,2015
"Chaiyaphum",0,0,3,4,3,8,8,6,29,36,47,17,8,11,7,3,0,2016
"Chaiyaphum",0,1,1,3,2,5,1,1,20,27,26,10,7,5,6,2,0,2017
"Chaiyaphum",0,1,3,1,1,7,4,2,33,59,45,18,23,7,5,3,0,2018
"Chaiyaphum",0,7,1,3,5,14,12,19,75,172,135,46,23,8,7,9,0,2019
"Chaiyaphum",0,4,3,7,4,4,7,13,70,163,181,53,26,15,5,4,0,2020
"Chanthaburi",0,0,1,2,2,3,4,5,25,74,109,73,27,12,8,1,0,2011
"Chanthaburi",0,3,3,3,8,7,4,8,25,84,168,86,44,19,6,7,0,2012
"Chanthaburi",0,7,4,7,2,10,14,17,46,91,165,126,63,46,19,4,0,2013
"Chanthaburi",0,2,0,0,1,2,2,4,10,43,108,91,68,33,20,9,0,2014
"Chanthaburi",0,2,0,1,1,2,7,12,38,61,147,131,91,51,36,11,0,2015
"Chanthaburi",0,1,0,5,6,5,4,5,10,30,28,37,20,8,4,4,0,2016
"Chanthaburi",0,0,0,1,4,1,2,2,6,15,21,18,9,4,2,1,0,2017
"Chanthaburi",0,2,1,0,1,4,1,8,12,23,32,18,9,3,2,2,0,2018
"Chanthaburi",0,7,0,3,2,8,9,10,35,91,117,71,37,18,6,2,0,2019
"Chanthaburi",0,0,0,0,0,1,1,1,6,12,26,11,7,2,4,2,0,2020
"Chiang Mai",0,1,0,0,1,2,2,2,8,24,69,48,33,28,13,9,0,2011
"Chiang Mai",0,2,3,3,1,3,7,4,26,58,153,134,70,44,38,22,0,2012
"Chiang Mai",2,9,6,2,8,16,16,25,79,265,859,504,267,276,146,76,0,2013
"Chiang Mai",0,0,2,0,1,0,4,2,10,16,38,33,30,17,9,5,0,2014
"Chiang Mai",0,3,3,2,2,3,0,7,22,64,188,140,90,74,59,20,0,2015
"Chiang Mai",0,0,0,2,2,7,4,3,17,49,174,164,135,107,83,39,0,2016
"Chiang Mai",2,3,0,3,3,6,5,2,17,56,160,144,108,99,44,30,0,2017
"Chiang Mai",0,2,1,1,0,2,1,4,9,42,101,105,64,46,36,12,0,2018
"Chiang Mai",0,4,1,4,6,3,7,7,39,90,197,184,122,91,96,43,0,2019
"Chiang Mai",0,2,5,0,7,7,3,0,15,43,113,108,90,47,42,35,0,2020
"Chiang Rai",0,0,2,1,0,0,0,1,5,24,52,46,23,23,13,8,0,2011
"Chiang Rai",0,2,0,1,2,1,2,3,12,40,106,95,65,62,28,16,0,2012
"Chiang Rai",0,7,8,6,16,10,12,22,69,176,587,528,351,324,219,96,0,2013
"Chiang Rai",0,1,0,0,0,0,0,0,0,0,2,4,3,3,1,1,0,2014
"Chiang Rai",0,2,0,1,2,1,1,0,8,21,38,49,27,29,31,14,0,2015
"Chiang Rai",0,0,1,1,1,0,0,0,2,4,18,15,13,15,18,8,0,2016
"Chiang Rai",0,0,1,2,1,0,3,1,9,16,40,26,33,34,18,18,0,2017
"Chiang Rai",0,2,1,6,1,0,4,6,17,21,44,62,46,31,45,17,0,2018
"Chiang Rai",0,2,3,4,8,9,6,7,38,87,167,129,91,83,102,56,0,2019
"Chiang Rai",0,0,1,0,0,1,0,1,3,12,31,25,26,15,28,13,0,2020
"Chon Buri",0,13,4,9,19,19,26,31,102,224,386,180,94,36,20,11,0,2011
"Chon Buri",0,19,6,17,23,15,21,39,114,227,404,164,89,35,28,14,0,2012
"Chon Buri",0,21,26,12,22,24,31,35,123,213,492,269,108,52,23,9,0,2013
"Chon Buri",0,4,13,8,2,7,12,8,25,44,111,64,35,21,10,11,0,2014
"Chon Buri",0,10,7,6,9,22,18,30,76,202,429,241,135,67,32,11,0,2015
"Chon Buri",0,2,5,2,5,2,5,3,13,41,105,69,38,25,12,5,0,2016
"Chon Buri",0,5,4,6,0,3,3,4,17,27,71,38,23,11,8,5,0,2017
"Chon Buri",0,8,3,5,10,10,16,21,74,168,263,172,89,34,21,12,0,2018
"Chon Buri",0,5,5,3,8,8,15,16,72,191,400,233,111,78,25,22,0,2019
"Chon Buri",0,5,0,2,3,6,9,2,38,100,166,125,75,31,26,16,0,2020
"Chumphon",0,1,0,0,1,4,3,1,6,24,35,12,5,6,1,1,0,2011
"Chumphon",0,2,0,2,3,5,3,4,16,59,100,39,19,13,3,1,0,2012
"Chumphon",0,3,1,4,3,2,4,6,18,40,119,48,24,11,5,6,0,2013
"Chumphon",0,1,1,0,0,2,0,3,6,21,23,20,12,7,0,1,0,2014
"Chumphon",0,0,0,1,2,1,0,3,8,9,19,15,8,3,1,2,0,2015
"Chumphon",0,0,0,0,0,0,0,0,1,3,4,0,2,0,0,1,0,2016
"Chumphon",0,0,0,0,0,1,1,0,0,6,5,7,3,2,2,0,0,2017
"Chumphon",0,0,1,0,2,2,2,0,0,7,10,8,2,1,1,0,0,2018
"Chumphon",0,0,0,1,1,1,3,2,4,18,22,8,6,5,1,1,0,2019
"Chumphon",0,0,1,0,0,0,0,0,1,2,14,7,3,1,0,0,0,2020
"Kalasin",0,2,3,2,2,4,6,8,22,78,64,8,10,5,0,2,0,2011
"Kalasin",0,3,0,0,5,3,3,8,35,92,75,13,5,4,4,1,0,2012
"Kalasin",0,5,4,6,4,6,7,18,81,211,225,52,20,12,6,2,0,2013
"Kalasin",0,0,0,0,0,0,1,2,6,13,15,3,5,2,0,1,0,2014
"Kalasin",0,3,1,1,3,3,4,8,31,83,108,32,27,16,11,7,0,2015
"Kalasin",0,1,1,3,1,4,1,5,19,34,52,44,12,13,7,6,0,2016
"Kalasin",0,0,0,0,2,2,4,2,16,32,54,16,9,9,6,2,0,2017
"Kalasin",0,0,1,0,0,1,3,5,14,44,45,19,11,10,5,2,0,2018
"Kalasin",0,3,0,4,1,6,1,12,29,90,133,36,26,10,10,8,0,2019
"Kalasin",0,1,0,0,1,2,3,2,15,54,64,20,8,5,4,2,0,2020
"Kamphaeng Phet",0,3,2,11,10,12,14,19,65,201,238,103,54,18,8,4,0,2011
"Kamphaeng Phet",0,5,3,3,4,4,11,6,45,106,197,70,41,18,13,11,0,2012
"Kamphaeng Phet",0,3,2,2,6,4,2,5,35,92,184,67,24,15,5,5,0,2013
"Kamphaeng Phet",0,2,0,0,3,5,1,6,18,49,81,21,14,9,4,0,0,2014
"Kamphaeng Phet",0,1,0,1,1,2,3,4,7,29,81,30,17,4,5,3,0,2015
"Kamphaeng Phet",0,0,0,0,0,1,0,0,5,7,17,10,5,1,2,1,0,2016
"Kamphaeng Phet",0,1,0,0,0,1,0,3,10,17,34,27,7,7,1,1,0,2017
"Kamphaeng Phet",0,1,0,2,1,2,1,3,15,49,56,35,21,6,3,2,0,2018
"Kamphaeng Phet",0,0,2,0,0,1,2,1,12,19,43,19,6,4,4,0,0,2019
"Kamphaeng Phet",0,1,0,0,0,1,0,3,5,13,23,14,7,3,2,2,0,2020
"Kanchanaburi",0,7,5,13,19,16,20,24,64,144,139,44,18,13,5,5,0,2011
"Kanchanaburi",0,13,6,11,13,9,13,20,68,118,180,73,39,20,11,8,0,2012
"Kanchanaburi",0,6,4,5,5,6,9,12,35,64,72,34,22,4,1,1,0,2013
"Kanchanaburi",0,1,2,2,8,9,10,11,26,39,47,24,20,11,2,1,0,2014
"Kanchanaburi",0,5,0,4,8,9,7,12,58,108,115,40,32,12,7,0,0,2015
"Kanchanaburi",0,0,0,1,0,1,1,2,5,6,11,4,7,3,1,1,0,2016
"Kanchanaburi",0,0,0,0,0,0,1,0,6,10,14,8,7,1,3,2,0,2017
"Kanchanaburi",0,2,2,1,2,5,4,8,17,36,40,24,14,10,4,2,0,2018
"Kanchanaburi",0,0,1,0,3,4,5,8,23,57,64,42,24,11,8,4,0,2019
"Kanchanaburi",0,2,1,0,2,0,1,3,14,37,32,26,13,7,7,2,0,2020
"Khon Kaen",0,2,1,4,12,14,16,21,72,221,204,65,15,11,6,3,0,2011
"Khon Kaen",0,6,5,4,14,17,15,24,77,209,248,71,29,14,8,5,0,2012
"Khon Kaen",0,6,5,16,22,15,20,28,127,318,533,146,67,34,19,12,0,2013
"Khon Kaen",0,0,1,6,3,4,6,6,11,23,49,14,10,5,5,0,0,2014
"Khon Kaen",0,4,2,11,16,13,10,23,93,220,340,181,91,40,30,12,0,2015
"Khon Kaen",0,2,1,2,4,7,5,9,24,53,106,46,21,17,7,6,0,2016
"Khon Kaen",0,2,1,2,2,1,5,4,13,39,66,20,14,4,7,2,0,2017
"Khon Kaen",0,1,6,3,2,7,2,26,63,121,145,68,27,16,8,6,0,2018
"Khon Kaen",0,18,8,9,13,19,24,34,145,308,367,132,53,28,23,15,0,2019
"Khon Kaen",0,12,3,8,9,14,12,22,82,252,292,121,32,31,20,10,0,2020
"Krabi",0,5,5,7,4,10,5,10,31,76,136,56,18,14,7,9,0,2011
"Krabi",0,17,8,8,24,29,26,34,109,228,337,144,71,34,13,5,0,2012
"Krabi",2,22,14,16,33,26,27,28,107,255,391,180,85,46,19,15,0,2013
"Krabi",1,8,7,10,8,12,9,13,52,99,160,114,45,27,16,11,0,2014
"Krabi",0,16,11,14,12,18,22,19,82,171,327,224,104,58,24,16,0,2015
"Krabi",0,2,3,3,6,8,10,5,26,56,99,56,28,21,14,9,0,2016
"Krabi",0,4,1,3,8,5,10,6,38,72,99,44,22,11,7,1,0,2017
"Krabi",0,9,4,1,3,10,12,11,62,108,124,89,40,8,4,4,0,2018
"Krabi",0,2,0,4,8,3,8,8,20,43,64,61,26,9,12,7,0,2019
"Krabi",0,7,2,1,0,3,1,2,9,13,28,14,12,1,1,4,0,2020
