"area","<28days","<1yr","1+","2+","3+","4+","5+","6+","7-9","10-14","15-24","25-34","35-44","45-54","55-64","65+","unknown","year"
"Amnat Charoen",0,2,0,1,1,2,8,5,15,56,39,8,1,2,1,2,0,2011
"Ang Thong",0,1,0,0,2,2,1,4,7,24,47,18,13,6,3,1,0,2011
"Bangkok",1,54,51,76,82,97,115,125,470,1117,1923,1492,860,473,242,124,0,2011
"Bungkan",0,0,0,1,0,1,0,1,5,6,2,1,0,0,0,0,0,2011
"Buri Ram",0,12,13,18,19,43,42,59,230,392,245,41,28,18,8,9,0,2011
"Chachoengsao",0,3,2,9,6,9,11,25,65,211,442,279,161,76,44,30,0,2011
"Chai Nat",0,1,0,1,4,2,3,2,12,31,50,19,9,10,6,1,0,2011
"Chaiyaphum",0,10,8,3,11,9,20,24,61,167,117,32,11,7,6,5,0,2011
"Chanthaburi",0,0,1,2,2,3,4,5,25,74,109,73,27,12,8,1,0,2011
"Chiang Mai",0,1,0,0,1,2,2,2,8,24,69,48,33,28,13,9,0,2011
"Chiang Rai",0,0,2,1,0,0,0,1,5,24,52,46,23,23,13,8,0,2011
"Chon Buri",0,13,4,9,19,19,26,31,102,224,386,180,94,36,20,11,0,2011
"Chumphon",0,1,0,0,1,4,3,1,6,24,35,12,5,6,1,1,0,2011
"Kalasin",0,2,3,2,2,4,6,8,22,78,64,8,10,5,0,2,0,2011
"Kamphaeng Phet",0,3,2,11,10,12,14,19,65,201,238,103,54,18,8,4,0,2011
"Kanchanaburi",0,7,5,13,19,16,20,24,64,144,139,44,18,13,5,5,0,2011
"Khon Kaen",0,2,1,4,12,14,16,21,72,221,204,65,15,11,6,3,0,2011
"Krabi",0,5,5,7,4,10,5,10,31,76,136,56,18,14,7,9,0,2011
"Lampang",0,0,0,0,2,0,0,0,2,7,10,9,6,8,3,0,0,2011
"Lamphun",0,0,0,0,0,0,0,0,1,6,15,8,6,4,5,0,0,2011
"Loei",0,0,1,1,1,3,1,1,15,22,26,10,13,6,2,1,0,2011
"Lop Buri",0,10,6,10,14,7,15,27,79,214,270,109,56,31,16,9,0,2011
"Mae Hong Son",0,0,0,0,0,1,1,1,3,6,13,17,8,4,1,2,0,2011
"Maha Sarakham",0,1,0,2,2,5,1,8,46,99,116,16,6,8,6,1,0,2011
"Mukdahan",0,0,0,0,0,1,1,0,4,13,21,12,1,1,1,0,0,2011
"Nakhon Nayok",0,0,0,0,1,1,0,1,7,26,43,26,12,4,3,2,0,2011
"Nakhon Pathom",0,6,4,6,7,15,9,30,94,217,340,148,95,28,16,7,0,2011
"Nakhon Phanom",0,0,0,1,4,4,1,4,18,23,17,8,11,6,3,2,0,2011
"Nakhon Ratchasima",1,19,12,21,22,40,38,46,193,439,483,162,74,32,18,12,0,2011
"Nakhon Sawan",0,7,5,10,19,18,21,16,104,308,563,223,106,50,24,12,0,2011
"Nakhon Si Thammarat",0,7,8,5,6,11,15,13,40,102,118,45,28,11,7,8,0,2011
"Nan",0,0,0,0,0,0,0,0,0,5,11,2,3,2,1,0,0,2011
"Narathiwat",0,2,0,1,2,2,2,2,7,14,33,24,27,11,7,4,0,2011
"Nong Bua Lam Phu",0,0,0,0,0,1,0,3,8,17,21,3,3,0,0,1,0,2011
"Nong Khai",0,0,1,0,0,2,1,2,8,26,16,2,2,1,0,1,0,2011
"Nonthaburi",0,6,5,7,8,9,15,11,60,160,201,101,61,37,22,12,0,2011
"P.Nakhon S.Ayutthaya",0,4,0,6,8,8,10,6,35,101,175,86,43,12,10,10,0,2011
"Pathum Thani",0,3,3,9,6,4,7,12,36,82,121,58,39,24,14,2,0,2011
"Pattani",0,2,2,4,3,2,3,5,13,13,19,5,8,7,1,0,0,2011
"Phangnga",0,3,0,2,2,3,5,8,10,44,64,30,22,9,4,4,0,2011
"Phatthalung",0,1,2,0,2,4,1,2,9,45,63,25,13,4,5,0,0,2011
"Phayao",0,0,0,1,0,1,0,0,2,8,22,5,9,13,6,1,0,2011
"Phetchabun",0,13,5,6,21,17,19,24,100,237,194,59,40,19,7,10,0,2011
"Phetchaburi",0,11,6,6,12,12,18,17,72,210,276,116,58,41,7,5,1,2011
"Phichit",0,3,2,7,7,11,16,9,70,200,287,139,67,53,16,15,0,2011
"Phitsanulok",0,5,1,3,3,9,8,19,62,166,228,83,47,30,19,5,0,2011
"Phrae",0,0,0,0,0,1,0,2,1,11,12,2,4,1,0,0,0,2011
"Phuket",1,3,0,1,2,3,6,4,9,16,47,35,16,7,4,1,0,2011
"Prachin Buri",0,2,0,1,8,2,6,7,24,65,81,32,20,7,5,1,0,2011
"Prachuap Khiri Khan",0,1,0,1,4,5,6,2,11,60,92,31,13,9,2,3,0,2011
"Ranong",0,0,1,1,1,0,0,1,2,1,7,11,4,2,2,1,0,2011
"Ratchaburi",0,5,3,10,11,11,16,22,86,223,293,126,62,41,19,8,0,2011
"Rayong",0,7,5,7,11,14,11,19,65,104,212,172,85,36,12,6,0,2011
"Roi Et",0,5,5,18,24,19,36,30,143,364,295,47,21,9,7,4,0,2011
"Sa Kaeo",0,2,1,7,7,13,19,16,69,136,97,25,17,10,2,3,0,2011
