"area","<28days","<1yr","1+","2+","3+","4+","5+","6+","7-9","10-14","15-24","25-34","35-44","45-54","55-64","65+","unknown","year"
"Amnat Charoen",0,0,0,1,0,0,1,0,5,13,17,1,3,2,3,2,0,2017
"Ang Thong",0,0,1,2,0,1,0,2,5,10,30,23,15,9,4,8,0,2017
"Bangkok",0,26,18,29,29,46,43,51,195,569,883,0,2652,0,0,0,0,2017
"Bungkan",0,2,0,1,1,3,3,3,20,55,46,26,22,15,5,3,0,2017
"Buri Ram",0,5,5,2,5,12,8,13,46,123,101,31,14,5,7,10,0,2017
"Chachoengsao",0,0,1,1,5,2,5,1,5,16,22,15,15,11,4,1,0,2017
"Chai Nat",0,0,0,0,0,0,0,1,4,13,24,16,8,8,1,1,0,2017
"Chaiyaphum",0,1,1,3,2,5,1,1,20,27,26,10,7,5,6,2,0,2017
"Chanthaburi",0,0,0,1,4,1,2,2,6,15,21,18,9,4,2,1,0,2017
"Chiang Mai",2,3,0,3,3,6,5,2,17,56,160,144,108,99,44,30,0,2017
"Chiang Rai",0,0,1,2,1,0,3,1,9,16,40,26,33,34,18,18,0,2017
"Chon Buri",0,5,4,6,0,3,3,4,17,27,71,38,23,11,8,5,0,2017
"Chumphon",0,0,0,0,0,1,1,0,0,6,5,7,3,2,2,0,0,2017
"Kalasin",0,0,0,0,2,2,4,2,16,32,54,16,9,9,6,2,0,2017
"Kamphaeng Phet",0,1,0,0,0,1,0,3,10,17,34,27,7,7,1,1,0,2017
"Kanchanaburi",0,0,0,0,0,0,1,0,6,10,14,8,7,1,3,2,0,2017
"Khon Kaen",0,2,1,2,2,1,5,4,13,39,66,20,14,4,7,2,0,2017
"Krabi",0,4,1,3,8,5,10,6,38,72,99,44,22,11,7,1,0,2017
"Lampang",0,0,0,0,0,0,0,0,2,12,25,17,4,5,9,1,0,2017
"Lamphun",0,0,0,0,0,0,0,2,3,8,19,18,12,14,6,1,0,2017
"Loei",0,0,0,1,0,0,2,0,9,15,25,18,13,12,6,5,0,2017
"Lop Buri",0,0,0,0,0,0,1,0,4,6,6,7,2,2,0,1,0,2017
"Mae Hong Son",0,0,0,0,0,1,0,0,4,18,32,20,20,12,6,10,0,2017
"Maha Sarakham",0,3,0,0,0,2,2,7,20,34,64,15,8,10,13,7,0,2017
"Mukdahan",0,0,0,0,0,1,1,1,5,14,24,9,9,4,4,0,0,2017
"Nakhon Nayok",0,0,0,0,0,0,0,0,0,2,4,0,0,0,1,0,0,2017
"Nakhon Pathom",0,3,1,0,2,6,7,6,32,81,169,99,49,38,20,16,0,2017
"Nakhon Phanom",0,0,0,0,0,0,1,2,3,16,9,9,6,2,3,0,0,2017
"Nakhon Ratchasima",0,6,2,5,8,9,10,9,66,169,204,84,46,41,14,18,0,2017
"Nakhon Sawan",0,1,1,1,1,1,0,4,14,33,55,38,15,12,4,6,0,2017
