"area","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","total"
"Amnat Charoen",0,0,0,0,2,2,3,6,0,3,2,1,19
"Ang Thong",1,0,4,1,7,3,6,8,3,6,8,8,55
"Bangkok",205,153,130,80,92,100,190,216,317,384,442,267,2576
"Bungkan",2,2,2,2,4,8,4,3,7,0,0,0,34
"Buri Ram",2,9,5,7,39,59,35,29,29,19,22,5,260
"Chachoengsao",7,6,3,1,7,1,25,21,27,25,32,8,163
"Chai Nat",1,1,4,0,1,3,2,1,5,1,5,3,27
"Chaiyaphum",2,1,3,2,16,42,42,37,25,40,36,14,260
"Chanthaburi",7,5,9,14,20,58,84,75,48,30,22,21,393
"Chiang Mai",4,3,0,0,5,27,29,31,41,16,8,3,167
"Chiang Rai",0,0,0,0,0,1,0,5,4,0,4,1,15
"Chon Buri",28,32,38,43,17,25,19,23,25,31,41,53,375
"Chumphon",4,5,3,6,5,12,31,8,2,13,7,1,97
"Kalasin",0,1,1,4,14,4,6,5,9,3,0,1,48
"Kamphaeng Phet",5,4,6,9,11,45,76,21,18,9,7,2,213
"Kanchanaburi",10,10,7,10,37,30,30,11,17,15,25,11,213
"Khon Kaen",2,5,1,3,7,7,40,31,17,15,12,3,143
"Krabi",11,9,20,23,64,123,92,63,56,58,40,33,592
"Lampang",5,1,0,4,4,6,11,5,5,4,1,1,47
"Lamphun",0,1,1,1,0,1,5,2,0,0,3,0,14
"Loei",0,0,2,3,0,4,3,4,2,1,3,1,23
"Lop Buri",11,11,7,18,25,27,14,34,11,30,25,13,226
"Mae Hong Son",1,2,2,7,10,27,35,43,13,10,6,0,156
"Maha Sarakham",2,1,3,1,3,8,19,17,22,18,7,4,105
"Mukdahan",1,0,0,0,6,7,6,4,2,2,0,0,28
"Nakhon Nayok",3,3,1,1,7,2,6,11,5,1,3,1,44
"Nakhon Pathom",19,33,15,4,10,13,27,32,47,66,84,74,424
"Nakhon Phanom",1,0,5,2,2,11,11,10,9,2,1,0,54
"Nakhon Ratchasima",5,7,7,7,24,51,75,74,47,67,38,31,433
"Nakhon Sawan",7,8,9,9,12,44,39,34,29,18,23,9,241
"Nakhon Si Thammarat",43,30,42,30,56,96,168,166,126,136,88,47,1028
"Nan",0,0,1,2,17,19,7,10,4,0,0,0,60
"Narathiwat",43,31,14,20,8,33,80,104,125,109,94,44,705
"Nong Bua Lam Phu",0,0,1,1,1,1,2,5,3,2,1,2,19
"Nong Khai",1,5,8,2,6,18,24,17,5,2,5,4,97
"Nonthaburi",16,9,18,10,13,5,6,21,34,30,36,31,229
"P.Nakhon S.Ayutthaya",16,10,19,11,13,16,24,19,25,14,29,16,212
"Pathum Thani",1,11,11,0,6,7,13,24,35,27,29,34,198
"Pattani",50,28,18,33,44,84,159,185,167,167,98,59,1092
"Phangnga",9,4,1,7,7,13,15,2,4,2,1,3,68
"Phatthalung",17,13,9,4,10,17,11,26,18,29,30,22,206
"Phayao",0,0,0,0,4,1,10,2,3,3,1,0,24
"Phetchabun",4,3,1,4,10,18,31,25,14,3,7,7,127
"Phetchaburi",10,8,12,6,7,10,13,12,14,28,25,23,168
"Phichit",1,6,10,3,5,17,21,27,13,4,5,4,116
"Phitsanulok",0,5,2,0,0,2,13,11,7,4,2,1,47
"Phrae",2,3,0,4,5,16,27,14,7,1,3,1,83
"Phuket",30,12,8,10,28,48,69,84,66,41,14,13,423
"Prachin Buri",2,6,5,8,12,13,17,14,10,2,4,3,96
"Prachuap Khiri Khan",2,1,7,5,2,12,11,14,10,8,13,22,107
"Ranong",0,1,4,4,3,4,2,0,3,1,1,0,23
"Ratchaburi",12,14,11,8,10,25,44,51,56,46,58,42,377
"Rayong",16,21,11,9,28,29,33,43,51,77,90,79,487
"Roi Et",0,1,5,2,9,11,19,26,10,6,4,3,96
"Sa Kaeo",2,0,3,0,6,3,9,11,6,5,6,1,52
"Sakon Nakhon",0,0,0,0,0,0,3,3,3,3,0,0,12
"Samut Prakan",36,23,36,14,27,37,26,31,29,72,80,51,462
"Samut Sakhon",8,8,4,12,6,6,9,18,43,18,36,57,225
"Samut Songkhram",2,2,2,3,2,3,1,5,3,3,5,8,39
"Saraburi",17,6,9,8,8,21,55,46,42,18,22,14,266
"Satun",4,2,6,7,5,7,12,1,3,5,6,4,62
"Si Sa Ket",0,2,3,7,9,19,29,22,8,6,12,4,121
"Sing Buri",2,1,0,0,0,0,1,0,0,0,0,0,4
"Songkhla",87,37,29,36,75,106,143,154,122,73,79,87,1028
"Sukhothai",4,4,4,1,6,12,14,22,11,5,2,6,91
"Suphan Buri",7,9,8,5,11,19,12,13,9,14,27,24,158
"Surat Thani",5,1,2,0,2,4,8,5,1,1,1,6,36
"Surin",2,3,3,3,7,8,23,29,22,16,12,3,131
"Tak",3,4,3,4,6,18,30,27,17,11,15,13,151
"Trang",23,10,8,11,23,50,46,53,40,48,41,31,384
"Trat",3,1,1,2,2,9,7,6,5,2,2,1,41
"Ubon Ratchathani",2,0,8,12,28,23,21,43,15,6,8,5,171
"Udon Thani",1,2,1,0,2,7,7,4,6,4,1,1,36
"Uthai Thani",0,4,3,6,4,5,10,5,6,4,8,5,60
"Uttaradit",0,0,1,1,5,2,0,1,0,2,1,2,15
"Yala",7,4,10,9,14,32,28,26,30,28,21,12,221
"Yasothon",1,0,0,2,1,9,13,15,7,2,4,1,55
