"area","year","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","total"
"Amnat Charoen",2011,8.05929491915184e-06,0,1.07457265588691e-05,8.05929491915184e-06,6.17879277134974e-05,5.64150644340629e-05,0.000155813035103602,4.02964745957592e-05,2.41778847574555e-05,2.68643163971728e-06,8.05929491915184e-06,8.05929491915184e-06,0.000384159724479571
"Amnat Charoen",2012,2.67741918210199e-06,5.35483836420398e-06,1.0709676728408e-05,8.03225754630596e-06,1.87419342747139e-05,7.49677370988557e-05,7.22903179167537e-05,2.40967726389179e-05,2.94516110031219e-05,5.35483836420398e-06,0,8.03225754630596e-06,0.000259709660663893
"Amnat Charoen",2013,1.33440797655712e-05,1.86817116717997e-05,5.33763190622848e-06,5.33763190622848e-05,8.807092645277e-05,0.000112090270030798,4.53698712029421e-05,1.33440797655712e-05,8.00644785934272e-06,8.00644785934272e-06,0,0,0.000365627785576651
"Amnat Charoen",2014,0,0,0,0,5.32793435984869e-06,5.32793435984869e-06,7.99190153977303e-06,1.59838030795461e-05,0,7.99190153977303e-06,5.32793435984869e-06,2.66396717992434e-06,5.06153764185625e-05
"Amnat Charoen",2015,2.65687519594455e-06,0,0,0,2.39118767635009e-05,6.11081295067246e-05,9.03337566621145e-05,9.29906318580591e-05,5.845125431078e-05,3.45393775472791e-05,3.71962527432236e-05,1.32843759797227e-05,0.000414472530567349
"Amnat Charoen",2016,3.97751378871447e-05,2.65167585914298e-06,3.44717861688587e-05,1.59100551548579e-05,3.18201103097157e-05,3.97751378871447e-05,3.97751378871447e-05,5.56851930420025e-05,1.59100551548579e-05,1.59100551548579e-05,7.95502757742893e-06,0,0.000299639372083157
"Amnat Charoen",2017,5.28950799641371e-06,7.93426199462057e-06,2.64475399820686e-06,5.28950799641371e-06,3.96713099731028e-05,2.11580319856549e-05,3.17370479784823e-05,5.28950799641371e-06,7.93426199462057e-06,0,0,0,0.000126948191913929
"Amnat Charoen",2018,0,0,0,1.05646543641267e-05,3.169396309238e-05,5.28232718206333e-05,3.69762902744433e-05,2.64116359103166e-05,1.84881451372217e-05,1.32058179551583e-05,5.28232718206333e-06,2.64116359103167e-06,0.000198087269327375
"Amnat Charoen",2019,2.64244076969015e-06,2.64244076969015e-06,3.69941707756621e-05,7.39883415513241e-05,0.000134764479254198,0.000137406920023888,0.000113624953096676,2.90668484665916e-05,2.64244076969015e-05,3.96366115453522e-05,2.64244076969015e-06,0,0.000599834054719663
"Amnat Charoen",2020,1.06327835298183e-05,1.32909794122729e-05,1.32909794122729e-05,1.06327835298183e-05,1.8607371177182e-05,4.51893300017278e-05,2.12655670596366e-05,2.65819588245458e-05,7.97458764736374e-06,2.65819588245458e-06,0,0,0.000170124536477093
"Ang Thong",2011,1.40814824984774e-05,1.40814824984774e-05,1.05611118738581e-05,3.16833356215742e-05,6.68870418677678e-05,0.00011265185998782,5.63259299939098e-05,7.04074124923872e-05,2.46425943723355e-05,2.11222237477162e-05,2.46425943723355e-05,7.04074124923872e-06,0.000454127810575897
"Ang Thong",2012,7.04518074411199e-06,2.1135542232336e-05,7.04518074411199e-06,2.4658132604392e-05,1.4090361488224e-05,2.4658132604392e-05,4.22710844646719e-05,3.1703313348504e-05,5.28388555808399e-05,4.57936748367279e-05,3.52259037205599e-05,1.761295186028e-05,0.000324078314229152
"Ang Thong",2013,2.81956212200245e-05,2.46711685675215e-05,2.46711685675215e-05,4.22934318300368e-05,5.2866789787546e-05,2.11467159150184e-05,1.76222632625153e-05,3.87689791775337e-05,1.05733579575092e-05,2.46711685675215e-05,1.05733579575092e-05,3.52445265250307e-06,0.000299578475462761
"Ang Thong",2014,3.52649100039497e-06,0,1.41059640015799e-05,3.52649100039497e-06,2.46854370027648e-05,1.05794730011849e-05,2.11589460023698e-05,2.82119280031597e-05,1.05794730011849e-05,2.11589460023698e-05,2.82119280031597e-05,2.82119280031597e-05,0.000193957005021723
