"area","year","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","total"
"Amnat Charoen",2011,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amnat Charoen",2012,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amnat Charoen",2013,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amnat Charoen",2014,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amnat Charoen",2015,0,0,0,0,0,2.65687519594455e-06,0,0,0,0,0,0,2.65687519594455e-06
"Amnat Charoen",2016,0,0,0,0,2.65167585914298e-06,0,0,0,0,0,0,0,2.65167585914298e-06
"Amnat Charoen",2017,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amnat Charoen",2018,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amnat Charoen",2019,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amnat Charoen",2020,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ang Thong",2011,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ang Thong",2012,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ang Thong",2013,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ang Thong",2014,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ang Thong",2015,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ang Thong",2016,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ang Thong",2017,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ang Thong",2018,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ang Thong",2019,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ang Thong",2020,0,0,0,0,0,0,0,3.61553813669627e-06,0,0,0,0,3.61553813669627e-06
"Bangkok",2011,0,0,0,0,0,0,1.76216328804163e-07,0,0,0,0,0,1.76216328804163e-07
"Bangkok",2012,1.76256177779031e-07,0,0,0,0,1.76256177779031e-07,0,0,1.76256177779031e-07,0,3.52512355558062e-07,0,8.81280888895156e-07
"Bangkok",2013,1.75862765139498e-07,0,0,0,0,1.75862765139498e-07,0,0,0,0,0,0,3.51725530278996e-07
"Bangkok",2014,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bangkok",2015,0,0,0,0,0,0,0,0,0,0,1.75549192482492e-07,0,1.75549192482492e-07
"Bangkok",2016,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bangkok",2017,0,0,0,0,0,0,0,0,1.75981514901675e-07,0,1.75981514901675e-07,0,3.51963029803349e-07
"Bangkok",2018,0,0,0,0,1.76160297414953e-07,3.52320594829907e-07,3.52320594829907e-07,0,1.76160297414953e-07,0,0,0,1.05696178448972e-06
"Bangkok",2019,0,0,0,0,0,0,0,1.76483128918808e-07,0,1.76483128918808e-07,3.52966257837616e-07,0,7.05932515675231e-07
"Bangkok",2020,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bungkan",2011,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bungkan",2012,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bungkan",2013,0,0,0,0,0,0,0,0,0,0,0,0,0
