"area","<28days","<1yr","1+","2+","3+","4+","5+","6+","7-9","10-14","15-24","25-34","35-44","45-54","55-64","65+","unknown","year"
"Amnat Charoen",0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,2011
"Amnat Charoen",0,1,0,0,2,2,1,1,3,6,4,1,1,1,0,0,0,2012
"Amnat Charoen",0,0,0,0,0,2,1,0,6,17,7,3,1,0,1,0,0,2013
"Amnat Charoen",0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,2014
"Amnat Charoen",0,0,0,0,0,0,1,0,2,3,8,3,1,2,1,2,0,2015
"Amnat Charoen",0,0,0,0,1,0,0,0,0,0,5,2,0,0,0,0,0,2016
"Amnat Charoen",0,0,0,1,0,0,0,0,1,1,2,0,1,0,0,0,0,2017
"Amnat Charoen",0,0,0,0,0,0,0,0,0,3,1,0,2,0,1,0,0,2018
"Amnat Charoen",0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,2019
"Amnat Charoen",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2020
"Ang Thong",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2011
"Ang Thong",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012
"Ang Thong",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013
"Ang Thong",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014
"Ang Thong",0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,2015
"Ang Thong",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
"Ang Thong",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2017
"Ang Thong",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2018
"Ang Thong",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2019
"Ang Thong",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2020
"Bangkok",0,3,1,1,1,1,4,2,9,22,15,7,1,3,1,1,0,2011
"Bangkok",0,0,28,11,7,5,2,3,11,0,0,0,0,0,0,0,1,2012
"Bangkok",0,2,1,0,1,2,2,1,4,17,15,9,2,3,3,0,0,2013
"Bangkok",0,1,0,0,0,1,1,1,1,4,4,1,4,1,1,0,0,2014
"Bangkok",0,2,0,1,1,1,1,0,9,11,10,14,10,3,2,1,0,2015
"Bangkok",0,1,0,0,0,1,1,0,4,4,4,5,3,4,1,0,0,2016
"Bangkok",0,1,1,0,0,0,1,0,1,5,6,0,17,0,0,0,0,2017
"Bangkok",0,1,0,0,1,0,0,0,5,3,3,6,2,2,1,4,0,2018
"Bangkok",0,0,0,1,1,2,0,1,4,6,5,8,2,1,4,0,0,2019
"Bangkok",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2020
"Bungkan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
"Bungkan",0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,2012
"Bungkan",0,0,2,0,2,0,8,8,27,38,26,7,2,3,2,0,0,2013
"Bungkan",0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,2014
"Bungkan",0,1,0,0,0,0,1,0,0,1,2,3,2,1,0,0,0,2015
"Bungkan",0,0,0,0,0,0,1,0,3,5,8,0,1,0,2,0,0,2016
"Bungkan",0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,2017
"Bungkan",0,0,0,0,0,1,1,0,1,5,1,0,1,1,0,0,0,2018
"Bungkan",0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2019
"Bungkan",0,0,0,0,0,0,0,0,3,5,1,1,0,0,0,0,0,2020
"Buri Ram",0,3,0,1,5,3,6,7,29,47,28,9,9,2,3,0,0,2011
