"area","<28days","<1yr","1+","2+","3+","4+","5+","6+","7-9","10-14","15-24","25-34","35-44","45-54","55-64","65+","unknown","year"
"Amnat Charoen",0,0,0,0,1,0,0,0,0,0,5,2,0,0,0,0,0,2016
"Ang Thong",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
"Bangkok",0,1,0,0,0,1,1,0,4,4,4,5,3,4,1,0,0,2016
"Bungkan",0,0,0,0,0,0,1,0,3,5,8,0,1,0,2,0,0,2016
"Buri Ram",0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,2016
"Chachoengsao",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
"Chai Nat",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2016
"Chaiyaphum",0,0,0,0,0,1,0,0,2,5,5,3,0,1,2,2,0,2016
"Chanthaburi",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2016
"Chiang Mai",0,0,0,0,0,0,0,0,1,2,4,2,2,2,0,3,0,2016
"Chiang Rai",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2016
"Chon Buri",0,0,0,0,0,0,0,0,2,1,2,0,3,0,0,0,0,2016
"Chumphon",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2016
"Kalasin",0,0,0,0,1,0,1,0,0,4,3,3,1,0,2,0,0,2016
"Kamphaeng Phet",0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,2016
"Kanchanaburi",0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2016
"Khon Kaen",0,0,0,1,0,1,0,0,0,5,3,3,1,0,1,0,0,2016
"Krabi",0,0,0,0,0,1,1,0,3,4,0,1,2,0,0,0,0,2016
"Lampang",0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,2016
"Lamphun",0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,2016
"Loei",0,0,0,0,0,0,0,0,0,2,2,1,1,1,1,0,0,2016
"Lop Buri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
"Mae Hong Son",0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,2016
"Maha Sarakham",0,0,0,0,0,0,0,0,2,1,4,1,2,0,0,0,0,2016
"Mukdahan",0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,2016
"Nakhon Nayok",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
"Nakhon Pathom",0,0,0,0,0,1,0,0,0,4,4,1,2,0,0,0,0,2016
"Nakhon Phanom",0,0,0,1,0,0,0,0,0,0,2,1,0,1,0,0,0,2016
"Nakhon Ratchasima",0,0,0,0,0,2,2,1,3,7,8,1,0,0,0,0,0,2016
"Nakhon Sawan",0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,2016
"Nakhon Si Thammarat",0,1,0,0,0,1,1,0,3,7,7,2,0,2,1,0,0,2016
