"area","<28days","<1yr","1+","2+","3+","4+","5+","6+","7-9","10-14","15-24","25-34","35-44","45-54","55-64","65+","unknown","year"
"Amnat Charoen",0,0,0,0,0,2,1,0,6,17,7,3,1,0,1,0,0,2013
"Ang Thong",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013
"Bangkok",0,2,1,0,1,2,2,1,4,17,15,9,2,3,3,0,0,2013
"Bungkan",0,0,2,0,2,0,8,8,27,38,26,7,2,3,2,0,0,2013
"Buri Ram",0,0,0,0,1,1,1,3,6,7,3,2,1,0,0,0,0,2013
"Chachoengsao",0,0,0,0,0,1,1,0,0,4,1,3,0,0,0,1,0,2013
"Chai Nat",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2013
"Chaiyaphum",0,0,0,0,0,2,0,0,9,11,11,4,2,0,1,0,0,2013
"Chanthaburi",0,0,0,0,0,2,0,1,3,5,5,4,4,0,0,0,0,2013
"Chiang Mai",0,0,1,0,0,0,3,3,12,27,52,24,13,13,7,8,0,2013
"Chiang Rai",0,0,0,0,0,1,0,2,6,12,24,22,19,16,13,12,0,2013
"Chon Buri",0,0,1,0,0,1,0,0,0,3,0,1,0,1,0,0,0,2013
"Chumphon",0,1,1,0,0,0,0,0,6,7,12,4,3,0,0,1,0,2013
"Kalasin",0,0,0,1,0,0,4,2,7,31,24,7,4,3,4,0,0,2013
"Kamphaeng Phet",0,0,0,0,0,0,1,0,5,0,5,1,2,0,0,0,0,2013
"Kanchanaburi",0,0,0,0,0,2,2,0,2,6,5,0,0,0,1,0,0,2013
"Khon Kaen",0,1,0,0,5,0,1,2,3,14,9,3,0,0,0,0,0,2013
"Krabi",0,1,0,0,1,1,2,1,15,28,16,7,6,2,1,0,0,2013
"Lampang",0,0,0,0,0,0,0,0,0,5,7,1,0,1,1,1,0,2013
"Lamphun",0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,2013
"Loei",0,0,0,0,0,0,0,2,6,7,14,2,4,1,0,0,0,2013
"Lop Buri",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2013
"Mae Hong Son",0,0,0,0,0,1,1,0,1,3,8,2,1,0,0,1,0,2013
"Maha Sarakham",0,0,0,0,0,0,0,0,2,11,5,1,0,1,1,0,0,2013
"Mukdahan",0,0,0,0,0,0,0,0,2,9,8,5,1,2,1,0,0,2013
"Nakhon Nayok",0,0,0,0,0,0,0,0,1,1,5,2,0,0,1,0,0,2013
"Nakhon Pathom",0,0,0,1,0,0,0,0,1,4,0,0,1,0,0,1,0,2013
"Nakhon Phanom",0,2,0,0,2,1,2,4,10,25,14,4,4,1,1,0,0,2013
"Nakhon Ratchasima",0,1,0,2,3,3,4,6,19,35,31,9,2,2,0,1,0,2013
"Nakhon Sawan",0,0,0,0,0,0,1,1,4,8,9,4,1,0,0,1,0,2013
"Nakhon Si Thammarat",0,2,0,0,0,2,1,2,8,16,21,8,0,2,2,0,0,2013
"Nan",0,0,0,0,0,0,0,0,1,1,3,2,1,1,0,2,0,2013
"Narathiwat",0,0,0,0,0,0,0,0,1,3,8,3,0,3,0,0,0,2013
"Nong Bua Lam Phu",0,0,0,0,0,0,0,1,0,13,9,2,1,0,0,0,0,2013
"Nong Khai",0,2,0,0,0,0,2,0,1,7,10,3,2,0,0,0,0,2013
"Nonthaburi",0,0,0,0,0,0,0,1,2,4,4,0,0,0,0,1,0,2013
"P.Nakhon S.Ayutthaya",0,0,0,1,0,0,0,1,1,2,5,1,1,1,0,0,0,2013
