"area","year","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","total"
"Amnat Charoen",2011,0,0,0,0,2,2,0,1,0,0,0,0,5
"Amnat Charoen",2012,0,0,0,0,0,3,0,3,11,3,2,1,23
"Amnat Charoen",2013,0,0,0,2,2,5,18,8,3,0,0,0,38
"Amnat Charoen",2014,0,0,0,0,0,0,0,0,2,1,0,2,5
"Amnat Charoen",2015,0,0,0,0,0,0,3,0,2,3,10,5,23
"Amnat Charoen",2016,0,0,0,1,0,0,0,2,3,1,1,0,8
"Amnat Charoen",2017,1,0,0,0,0,2,1,2,0,0,0,0,6
"Amnat Charoen",2018,0,0,0,1,1,2,1,0,1,1,0,0,7
"Amnat Charoen",2019,0,0,0,0,1,0,2,0,0,0,0,0,3
"Amnat Charoen",2020,0,0,0,0,0,0,1,1,0,0,0,0,2
"Ang Thong",2011,0,0,0,0,0,1,0,0,0,0,0,0,1
"Ang Thong",2012,0,0,0,0,0,0,1,0,0,0,0,0,1
"Ang Thong",2013,0,0,0,0,1,0,0,0,0,0,0,0,1
"Ang Thong",2014,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ang Thong",2015,0,0,0,0,1,0,1,1,0,1,1,0,5
"Ang Thong",2016,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ang Thong",2017,0,0,0,0,0,0,2,0,0,0,0,0,2
"Ang Thong",2018,0,0,0,1,0,0,0,0,0,0,0,1,2
"Ang Thong",2019,0,0,0,0,0,0,0,0,0,0,0,1,1
"Ang Thong",2020,0,0,0,1,0,0,0,0,0,1,0,0,2
"Bangkok",2011,11,5,5,8,6,9,4,9,2,3,7,3,72
"Bangkok",2012,5,3,2,2,2,2,9,11,8,4,11,9,68
"Bangkok",2013,6,3,3,1,3,9,7,13,4,10,2,1,62
"Bangkok",2014,0,4,1,2,1,2,1,3,3,2,0,1,20
"Bangkok",2015,0,4,1,4,2,6,6,5,8,10,15,5,66
"Bangkok",2016,9,7,1,1,1,0,0,1,1,2,5,0,28
"Bangkok",2017,1,0,1,0,1,2,6,5,3,2,6,5,32
"Bangkok",2018,2,1,1,5,1,1,2,5,5,4,1,0,28
"Bangkok",2019,5,2,1,0,0,0,3,8,4,6,3,3,35
"Bangkok",2020,1,0,0,0,0,1,0,1,0,0,0,0,3
"Bungkan",2011,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bungkan",2012,0,0,1,2,0,0,0,0,0,0,2,0,5
"Bungkan",2013,0,0,1,7,21,41,24,21,8,1,1,0,125
"Bungkan",2014,0,0,0,0,2,0,3,0,0,0,0,0,5
"Bungkan",2015,0,0,0,0,0,2,1,2,2,1,3,0,11
"Bungkan",2016,0,0,1,0,0,3,5,3,5,3,0,0,20
"Bungkan",2017,0,0,0,0,2,0,1,0,0,0,1,0,4
"Bungkan",2018,0,0,0,1,3,2,2,2,0,1,0,0,11
"Bungkan",2019,0,0,0,0,1,4,0,0,0,0,0,0,5
"Bungkan",2020,0,0,0,1,2,4,2,0,1,0,0,0,10
"Buri Ram",2011,1,0,3,5,11,28,45,29,22,1,6,1,152
"Buri Ram",2012,3,3,7,16,8,9,17,6,4,2,0,0,75
"Buri Ram",2013,2,2,6,0,0,3,4,1,1,3,2,1,25
"Buri Ram",2014,0,0,0,1,0,0,0,1,0,2,0,0,4
"Buri Ram",2015,0,0,0,0,2,1,2,4,1,0,0,0,10
"Buri Ram",2016,0,0,1,1,0,0,1,2,0,0,0,0,5
"Buri Ram",2017,0,0,1,1,0,0,1,2,0,0,1,0,6
"Buri Ram",2018,0,0,1,3,1,2,5,6,2,2,2,0,24
"Buri Ram",2019,0,1,2,0,2,5,5,7,5,6,1,0,34
"Buri Ram",2020,1,2,0,1,2,1,6,2,2,0,0,0,17
"Chachoengsao",2011,1,0,1,0,6,11,0,1,1,3,2,2,28
"Chachoengsao",2012,1,0,0,0,1,2,4,2,5,5,1,0,21
"Chachoengsao",2013,2,0,0,3,1,1,2,1,1,0,0,0,11
"Chachoengsao",2014,0,0,0,0,0,0,0,1,0,1,0,0,2
"Chachoengsao",2015,0,2,1,0,1,0,4,2,2,1,1,2,16
"Chachoengsao",2016,0,0,0,0,0,0,1,0,0,0,0,0,1
"Chachoengsao",2017,0,0,0,0,0,0,0,2,2,1,0,1,6
"Chachoengsao",2018,1,0,0,0,1,2,1,3,0,0,4,0,12
"Chachoengsao",2019,1,0,2,2,0,2,2,2,0,0,1,1,13
"Chachoengsao",2020,0,0,1,0,1,0,2,0,0,1,0,0,5
"Chai Nat",2011,0,0,0,1,1,1,0,0,0,1,0,0,4
"Chai Nat",2012,0,0,2,1,0,1,1,0,0,1,0,1,7
"Chai Nat",2013,0,1,1,0,0,0,0,0,0,0,0,0,2
"Chai Nat",2014,0,0,0,0,0,0,0,0,1,0,0,0,1
"Chai Nat",2015,0,0,0,0,0,0,1,0,0,0,0,0,1
"Chai Nat",2016,0,1,0,0,0,0,0,0,0,0,0,0,1
"Chai Nat",2017,0,0,1,0,0,1,0,0,0,1,0,0,3
"Chai Nat",2018,0,0,0,0,0,0,0,0,0,0,2,1,3
"Chai Nat",2019,0,0,0,0,1,0,0,1,0,0,0,0,2
"Chai Nat",2020,0,0,1,0,0,0,1,0,0,0,0,0,2
"Chaiyaphum",2011,1,1,0,0,1,3,4,4,9,5,0,0,28
"Chaiyaphum",2012,0,0,0,0,7,7,7,5,4,6,3,0,39
"Chaiyaphum",2013,0,1,2,3,5,8,10,5,3,2,1,0,40
"Chaiyaphum",2014,0,0,0,1,2,4,1,4,1,3,0,1,17
"Chaiyaphum",2015,0,1,0,1,2,6,9,13,5,13,2,1,53
"Chaiyaphum",2016,2,3,2,0,0,3,4,4,0,2,1,0,21
"Chaiyaphum",2017,0,0,1,1,0,1,0,1,0,1,1,0,6
"Chaiyaphum",2018,0,0,0,0,1,1,1,0,1,0,1,1,6
"Chaiyaphum",2019,1,1,0,1,1,5,5,2,2,5,2,2,27
"Chaiyaphum",2020,0,0,1,3,5,5,2,2,0,0,0,0,18
"Chanthaburi",2011,0,0,0,0,1,2,0,1,1,0,0,0,5
"Chanthaburi",2012,0,0,1,0,2,0,2,0,0,1,1,0,7
"Chanthaburi",2013,4,1,0,1,5,4,3,1,1,2,1,1,24
"Chanthaburi",2014,0,0,0,0,2,1,1,0,0,0,0,0,4
"Chanthaburi",2015,0,0,0,0,1,1,0,1,1,1,2,1,8
"Chanthaburi",2016,0,0,0,0,0,0,1,0,0,0,0,0,1
"Chanthaburi",2017,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chanthaburi",2018,0,0,0,0,0,0,0,0,1,0,0,0,1
"Chanthaburi",2019,0,0,1,1,3,10,6,3,6,1,1,1,33
"Chanthaburi",2020,0,0,0,1,2,0,0,0,0,0,0,0,3
"Chiang Mai",2011,6,0,1,0,5,16,9,7,6,1,7,1,59
"Chiang Mai",2012,2,2,0,0,0,1,1,3,1,8,1,3,22
"Chiang Mai",2013,4,2,3,5,12,29,37,35,28,6,2,0,163
"Chiang Mai",2014,0,0,0,0,0,0,0,0,2,3,0,0,5
"Chiang Mai",2015,0,0,0,0,0,1,0,0,3,1,0,0,5
"Chiang Mai",2016,0,0,0,0,1,1,2,3,5,2,1,1,16
"Chiang Mai",2017,0,1,0,0,1,2,5,2,2,0,1,0,14
"Chiang Mai",2018,0,0,0,0,1,1,4,0,1,4,4,1,16
"Chiang Mai",2019,0,0,0,1,1,1,5,9,15,2,2,1,37
"Chiang Mai",2020,2,2,0,0,5,5,2,11,5,6,1,0,39
"Chiang Rai",2011,0,0,0,0,3,2,0,0,0,1,0,1,7
"Chiang Rai",2012,0,0,0,0,0,0,0,3,1,0,0,0,4
"Chiang Rai",2013,2,2,2,2,14,38,28,20,15,2,2,0,127
"Chiang Rai",2014,0,0,0,0,1,1,1,0,0,0,0,1,4
"Chiang Rai",2015,0,0,0,0,3,4,0,1,1,1,3,1,14
"Chiang Rai",2016,1,0,0,0,0,1,0,0,0,0,0,0,2
"Chiang Rai",2017,0,0,0,0,0,1,0,0,1,1,0,0,3
"Chiang Rai",2018,0,1,0,0,1,1,1,1,2,0,2,0,9
"Chiang Rai",2019,0,0,0,0,0,1,1,5,0,4,4,1,16
"Chiang Rai",2020,0,0,0,0,0,1,1,2,0,1,1,0,6
"Chon Buri",2011,1,0,0,0,1,3,3,2,0,3,0,1,14
"Chon Buri",2012,1,0,0,0,0,0,1,2,3,6,3,0,16
"Chon Buri",2013,0,1,1,0,1,1,1,0,2,0,0,0,7
"Chon Buri",2014,0,0,0,0,0,0,1,1,0,0,2,3,7
"Chon Buri",2015,1,0,0,0,3,0,6,3,1,0,2,0,16
"Chon Buri",2016,1,3,0,1,0,0,0,0,2,1,0,0,8
"Chon Buri",2017,0,0,0,1,0,0,3,2,2,0,1,1,10
"Chon Buri",2018,0,0,2,1,2,12,1,4,3,1,1,1,28
"Chon Buri",2019,2,1,3,1,2,5,5,4,3,2,4,0,32
"Chon Buri",2020,1,0,1,0,0,2,1,0,3,1,1,0,10
"Chumphon",2011,0,0,0,0,0,0,0,0,2,0,1,0,3
"Chumphon",2012,0,0,0,0,0,1,1,0,1,1,0,2,6
"Chumphon",2013,1,1,0,5,7,6,7,4,2,0,1,1,35
"Chumphon",2014,0,0,1,0,0,0,0,1,0,0,0,0,2
"Chumphon",2015,1,0,4,0,1,2,6,4,0,1,0,0,19
"Chumphon",2016,0,1,0,0,0,0,0,0,0,0,0,1,2
"Chumphon",2017,0,0,3,1,1,0,0,1,1,1,2,0,10
"Chumphon",2018,0,0,0,1,0,2,1,2,0,0,0,0,6
"Chumphon",2019,1,2,0,4,1,4,2,2,0,0,0,0,16
"Chumphon",2020,1,0,1,0,1,3,0,1,0,2,0,1,10
"Kalasin",2011,0,0,1,1,2,5,6,5,1,0,0,1,22
"Kalasin",2012,0,0,0,1,0,0,2,4,6,8,1,2,24
"Kalasin",2013,1,3,5,3,20,27,13,7,4,2,2,0,87
"Kalasin",2014,0,0,0,0,0,0,0,0,1,0,0,1,2
"Kalasin",2015,0,0,0,3,2,3,3,0,4,6,1,0,22
"Kalasin",2016,0,1,0,1,0,3,5,3,1,1,0,0,15
"Kalasin",2017,0,1,0,0,0,3,1,1,1,0,0,0,7
"Kalasin",2018,0,0,1,0,1,3,1,1,1,0,1,0,9
"Kalasin",2019,0,0,1,0,0,0,0,1,0,0,0,0,2
"Kalasin",2020,1,0,0,0,1,1,0,0,1,0,0,0,4
