"area","year","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","total"
"Amnat Charoen",2011,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amnat Charoen",2012,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amnat Charoen",2013,0,0,0,1,1,0,0,0,0,0,0,0,2
"Amnat Charoen",2014,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amnat Charoen",2015,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amnat Charoen",2016,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amnat Charoen",2017,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amnat Charoen",2018,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amnat Charoen",2019,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amnat Charoen",2020,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ang Thong",2011,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ang Thong",2012,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ang Thong",2013,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ang Thong",2014,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ang Thong",2015,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ang Thong",2016,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ang Thong",2017,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ang Thong",2018,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ang Thong",2019,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ang Thong",2020,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bangkok",2011,1,0,0,1,0,2,0,1,0,0,0,0,5
"Bangkok",2012,0,0,0,0,0,0,0,1,0,0,0,0,1
"Bangkok",2013,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bangkok",2014,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bangkok",2015,0,0,0,0,0,0,0,0,0,1,0,1,2
"Bangkok",2016,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bangkok",2017,0,0,0,0,0,0,1,0,0,1,1,1,4
"Bangkok",2018,1,0,0,0,0,1,1,1,0,0,0,0,4
"Bangkok",2019,1,1,0,0,0,0,1,1,0,0,1,0,5
"Bangkok",2020,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bungkan",2011,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bungkan",2012,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bungkan",2013,0,0,0,0,0,0,1,1,0,0,0,0,2
"Bungkan",2014,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bungkan",2015,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bungkan",2016,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bungkan",2017,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bungkan",2018,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bungkan",2019,0,0,0,0,1,2,0,0,0,0,0,0,3
"Bungkan",2020,0,0,0,0,0,0,0,0,0,0,0,0,0
