"area","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","total"
"Amnat Charoen",0,0,0,1,1,2,1,0,1,1,0,0,7
"Ang Thong",0,0,0,1,0,0,0,0,0,0,0,1,2
"Bangkok",2,1,1,5,1,1,2,5,5,4,1,0,28
"Bungkan",0,0,0,1,3,2,2,2,0,1,0,0,11
"Buri Ram",0,0,1,3,1,2,5,6,2,2,2,0,24
"Chachoengsao",1,0,0,0,1,2,1,3,0,0,4,0,12
"Chai Nat",0,0,0,0,0,0,0,0,0,0,2,1,3
"Chaiyaphum",0,0,0,0,1,1,1,0,1,0,1,1,6
"Chanthaburi",0,0,0,0,0,0,0,0,1,0,0,0,1
"Chiang Mai",0,0,0,0,1,1,4,0,1,4,4,1,16
"Chiang Rai",0,1,0,0,1,1,1,1,2,0,2,0,9
"Chon Buri",0,0,2,1,2,12,1,4,3,1,1,1,28
"Chumphon",0,0,0,1,0,2,1,2,0,0,0,0,6
"Kalasin",0,0,1,0,1,3,1,1,1,0,1,0,9
"Kamphaeng Phet",0,1,1,0,1,1,1,1,1,0,0,0,7
"Kanchanaburi",0,2,1,4,1,1,0,0,0,1,2,0,12
"Khon Kaen",0,0,0,2,2,8,5,6,0,3,6,5,37
"Krabi",0,1,1,4,4,8,9,5,2,2,5,4,45
"Lampang",1,0,0,0,0,1,0,1,0,0,0,0,3
"Lamphun",0,0,0,0,0,0,0,0,0,1,0,0,1
"Loei",0,0,0,0,0,0,0,0,0,1,0,0,1
"Lop Buri",0,0,0,0,2,0,1,1,2,0,0,4,10
"Mae Hong Son",0,0,0,1,0,0,1,1,0,0,0,0,3
"Maha Sarakham",0,0,1,0,0,3,1,2,0,0,0,1,8
"Mukdahan",0,0,0,0,0,0,2,0,0,0,0,0,2
"Nakhon Nayok",0,0,0,0,0,1,4,0,0,1,0,0,6
"Nakhon Pathom",2,0,0,0,2,4,4,2,4,2,3,1,24
"Nakhon Phanom",0,0,1,0,0,0,1,0,0,0,0,0,2
"Nakhon Ratchasima",0,1,1,0,4,7,6,11,3,6,4,6,49
"Nakhon Sawan",0,0,1,0,2,3,1,2,2,0,2,0,13
"Nakhon Si Thammarat",2,3,4,6,3,3,9,6,4,3,1,8,52
"Nan",0,0,0,0,0,0,0,0,0,0,0,0,0
"Narathiwat",0,0,0,1,0,0,0,2,1,2,3,2,11
"Nong Bua Lam Phu",0,0,0,0,1,2,4,1,0,0,0,1,9
"Nong Khai",0,0,0,0,1,0,0,0,0,1,1,0,3
"Nonthaburi",2,2,0,1,3,7,1,2,2,4,3,3,30
"P.Nakhon S.Ayutthaya",1,0,0,0,1,3,1,5,0,2,1,0,14
"Pathum Thani",2,1,1,1,3,7,3,2,2,1,3,1,27
"Pattani",0,0,0,0,0,0,0,0,0,3,2,4,9
"Phangnga",0,1,0,3,8,4,0,4,1,0,0,0,21
"Phatthalung",1,0,0,0,1,0,3,0,0,1,2,1,9
"Phayao",0,0,0,0,0,0,0,0,0,0,0,0,0
"Phetchabun",0,1,0,0,1,4,0,0,0,0,0,0,6
"Phetchaburi",0,1,2,1,1,2,0,1,0,1,0,0,9
"Phichit",0,0,0,0,2,1,1,0,1,0,0,0,5
"Phitsanulok",0,0,0,0,2,3,0,2,0,1,0,1,9
"Phrae",0,0,0,0,1,0,0,0,0,0,0,0,1
"Phuket",1,0,2,0,1,1,1,1,1,1,1,0,10
"Prachin Buri",1,0,0,0,0,0,0,1,1,0,0,0,3
"Prachuap Khiri Khan",0,0,0,0,0,1,1,0,1,0,0,2,5
"Ranong",0,0,0,0,0,0,0,0,0,0,0,0,0
"Ratchaburi",2,1,0,1,4,0,2,2,3,7,3,5,30
"Rayong",0,0,0,1,1,1,0,2,1,0,0,3,9
"Roi Et",0,0,0,2,2,5,3,3,4,0,1,2,22
"Sa Kaeo",0,1,0,0,0,1,1,1,0,1,1,0,6
"Sakon Nakhon",0,0,0,0,2,1,0,0,0,1,1,0,5
"Samut Prakan",1,1,2,1,4,2,6,4,3,9,3,7,43
"Samut Sakhon",1,0,1,0,0,1,1,2,0,0,0,2,8
"Samut Songkhram",1,0,0,0,0,0,0,0,0,1,0,0,2
"Saraburi",0,0,0,1,1,4,2,0,1,2,2,0,13
"Satun",0,0,0,0,0,0,0,0,0,1,0,0,1
"Si Sa Ket",0,0,0,0,1,0,0,1,0,1,0,0,3
"Sing Buri",0,0,0,0,0,0,0,0,0,0,0,0,0
"Songkhla",3,1,0,0,0,2,2,2,0,5,3,0,18
"Sukhothai",0,0,0,0,0,1,0,0,0,0,1,0,2
"Suphan Buri",0,0,0,0,0,1,2,0,2,2,1,3,11
"Surat Thani",4,2,3,3,7,0,6,3,1,0,3,0,32
"Surin",0,0,0,0,1,6,18,10,2,1,1,0,39
"Tak",0,1,0,0,0,3,7,9,5,2,0,1,28
"Trang",0,0,0,0,0,3,0,1,0,1,0,1,6
"Trat",0,0,0,1,1,2,0,0,0,0,0,0,4
"Ubon Ratchathani",0,0,1,2,26,4,3,0,0,0,1,1,38
"Udon Thani",0,0,0,0,0,4,1,0,1,1,1,0,8
"Uthai Thani",0,0,0,0,0,2,0,0,0,1,1,0,4
"Uttaradit",0,0,0,0,0,0,1,0,0,0,0,0,1
"Yala",0,0,0,0,0,0,1,0,0,2,1,0,4
"Yasothon",0,0,0,1,1,2,0,0,0,0,0,0,4
