"area","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","total"
"Amnat Charoen",0,0,0,1,1,0,0,0,0,0,0,0,2
"Ang Thong",0,0,0,0,0,0,0,0,0,0,0,0,0
"Bangkok",0,0,0,0,0,0,0,0,0,0,0,0,0
"Bungkan",0,0,0,0,0,0,1,1,0,0,0,0,2
"Buri Ram",0,0,0,0,0,0,1,1,0,0,1,0,3
"Chachoengsao",0,0,0,1,0,0,0,0,0,0,0,0,1
"Chai Nat",0,0,0,0,0,0,0,0,0,0,0,0,0
"Chaiyaphum",0,0,0,0,0,0,0,0,0,0,0,0,0
"Chanthaburi",0,0,0,0,0,0,0,0,0,0,0,0,0
"Chiang Mai",1,0,0,1,0,1,1,0,0,0,0,0,4
"Chiang Rai",0,0,0,0,0,4,2,3,0,0,0,0,9
"Chon Buri",0,0,0,0,0,0,0,0,2,0,0,0,2
"Chumphon",0,0,0,0,1,2,0,1,0,0,0,0,4
"Kalasin",0,0,0,0,0,1,1,0,0,0,0,0,2
"Kamphaeng Phet",0,0,0,1,0,0,0,0,0,0,0,0,1
"Kanchanaburi",0,0,0,0,0,0,1,0,0,0,0,0,1
"Khon Kaen",0,0,0,0,0,1,1,0,0,0,0,0,2
"Krabi",0,0,0,0,1,0,1,0,0,0,0,0,2
"Lampang",0,0,0,0,0,0,0,0,0,0,0,0,0
"Lamphun",0,0,0,1,0,0,0,0,0,0,0,0,1
"Loei",0,0,0,0,0,0,0,0,0,0,1,0,1
"Lop Buri",0,0,0,0,0,0,0,0,0,0,0,0,0
"Mae Hong Son",0,0,0,0,0,0,0,0,0,1,0,0,1
"Maha Sarakham",0,0,0,0,0,0,0,0,0,0,0,0,0
"Mukdahan",0,0,0,0,0,0,1,0,0,0,0,0,1
"Nakhon Nayok",0,0,0,0,0,0,0,0,0,0,0,0,0
"Nakhon Pathom",0,0,0,0,0,0,0,0,0,0,0,0,0
"Nakhon Phanom",0,0,0,0,0,0,0,1,0,0,0,0,1
"Nakhon Ratchasima",0,0,1,0,0,1,2,0,0,0,0,0,4
"Nakhon Sawan",0,0,1,0,0,0,0,0,0,0,0,0,1
"Nakhon Si Thammarat",2,1,0,1,0,0,1,1,0,0,1,1,8
"Nan",0,0,0,0,0,0,0,0,0,0,0,0,0
"Narathiwat",0,0,0,0,0,0,0,1,0,0,0,1,2
"Nong Bua Lam Phu",0,0,0,0,0,0,0,0,0,0,0,0,0
"Nong Khai",0,0,0,0,0,0,0,0,0,0,0,0,0
"Nonthaburi",0,0,0,0,0,0,0,0,0,1,0,0,1
"P.Nakhon S.Ayutthaya",0,0,0,0,0,0,0,0,0,0,0,0,0
"Pathum Thani",0,0,0,1,1,0,0,0,0,0,0,1,3
"Pattani",1,0,0,0,0,0,0,0,0,0,0,0,1
"Phangnga",0,0,1,1,0,0,0,0,0,0,0,0,2
"Phatthalung",0,0,0,0,0,1,0,0,0,0,0,0,1
"Phayao",0,0,0,0,0,0,0,0,0,0,0,0,0
"Phetchabun",0,0,0,0,0,0,0,1,0,0,0,0,1
"Phetchaburi",0,0,0,0,0,0,0,0,0,0,0,0,0
"Phichit",0,0,0,0,0,0,0,0,0,0,0,0,0
"Phitsanulok",0,0,0,0,1,1,0,0,1,0,0,0,3
"Phrae",0,0,0,0,0,0,0,0,0,0,0,0,0
"Phuket",0,0,0,1,0,0,0,1,0,0,0,0,2
"Prachin Buri",0,0,0,0,0,0,0,0,0,0,0,0,0
"Prachuap Khiri Khan",0,0,0,0,0,0,0,0,0,0,0,0,0
"Ranong",0,0,0,0,0,0,0,0,0,0,0,0,0
"Ratchaburi",0,0,0,0,0,0,0,0,0,0,0,0,0
"Rayong",0,0,0,0,0,0,0,0,0,0,0,0,0
"Roi Et",0,0,0,0,0,0,0,0,0,0,0,0,0
"Sa Kaeo",0,0,0,0,0,0,0,0,0,0,0,0,0
"Sakon Nakhon",0,0,0,0,1,0,1,0,0,0,0,0,2
"Samut Prakan",1,0,0,0,1,0,0,0,0,0,0,0,2
"Samut Sakhon",0,0,0,0,0,0,0,0,0,0,0,0,0
"Samut Songkhram",0,0,0,0,0,0,0,0,0,0,0,0,0
"Saraburi",0,0,0,0,0,1,0,0,0,0,0,0,1
"Satun",0,0,0,0,0,0,1,0,0,0,0,0,1
"Si Sa Ket",0,0,0,0,0,0,0,1,0,0,0,0,1
"Sing Buri",0,0,0,0,0,0,0,0,0,0,0,0,0
"Songkhla",1,4,1,0,4,1,0,0,0,0,0,0,11
"Sukhothai",0,0,0,2,0,0,0,0,0,0,0,0,2
"Suphan Buri",0,0,0,0,0,0,0,0,0,0,0,0,0
"Surat Thani",0,0,0,0,0,0,0,0,0,0,0,0,0
"Surin",0,2,0,1,0,0,2,0,0,0,0,0,5
"Tak",0,0,0,0,1,0,0,0,0,0,0,0,1
"Trang",0,0,0,0,0,0,0,0,0,0,0,0,0
"Trat",0,0,0,0,0,0,0,0,0,0,0,0,0
"Ubon Ratchathani",0,2,0,0,0,0,0,0,0,0,0,0,2
"Udon Thani",0,0,0,0,0,0,0,0,0,0,0,0,0
"Uthai Thani",0,0,0,0,0,0,0,0,0,0,0,0,0
"Uttaradit",0,0,0,0,0,0,0,0,0,0,0,0,0
"Yala",0,1,0,0,0,0,0,0,0,0,0,0,1
"Yasothon",0,0,0,0,0,0,0,0,0,0,0,0,0
