"area","year","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","total"
"Amnat Charoen",2011,0,0,0,0,5.37286327943456e-06,5.37286327943456e-06,0,2.68643163971728e-06,0,0,0,0,1.34321581985864e-05
"Amnat Charoen",2012,0,0,0,0,0,8.03225754630596e-06,0,8.03225754630596e-06,2.94516110031219e-05,8.03225754630596e-06,5.35483836420398e-06,2.67741918210199e-06,6.15806411883457e-05
"Amnat Charoen",2013,0,0,0,5.33763190622848e-06,5.33763190622848e-06,1.33440797655712e-05,4.80386871560563e-05,2.13505276249139e-05,8.00644785934272e-06,0,0,0,0.000101415006218341
"Amnat Charoen",2014,0,0,0,0,0,0,0,0,5.32793435984869e-06,2.66396717992434e-06,0,5.32793435984869e-06,1.33198358996217e-05
"Amnat Charoen",2015,0,0,0,0,0,0,7.97062558783364e-06,0,5.31375039188909e-06,7.97062558783364e-06,2.65687519594455e-05,1.32843759797227e-05,6.11081295067246e-05
"Amnat Charoen",2016,0,0,0,2.65167585914298e-06,0,0,0,5.30335171828596e-06,7.95502757742893e-06,2.65167585914298e-06,2.65167585914298e-06,0,2.12134068731438e-05
"Amnat Charoen",2017,2.64475399820686e-06,0,0,0,0,5.28950799641371e-06,2.64475399820686e-06,5.28950799641371e-06,0,0,0,0,1.58685239892411e-05
"Amnat Charoen",2018,0,0,0,2.64116359103167e-06,2.64116359103167e-06,5.28232718206333e-06,2.64116359103167e-06,0,2.64116359103167e-06,2.64116359103167e-06,0,0,1.84881451372217e-05
"Amnat Charoen",2019,0,0,0,0,2.64244076969015e-06,0,5.28488153938029e-06,0,0,0,0,0,7.92732230907044e-06
"Amnat Charoen",2020,0,0,0,0,0,0,2.65819588245458e-06,2.65819588245458e-06,0,0,0,0,5.31639176490916e-06
"Ang Thong",2011,0,0,0,0,0,3.52037062461936e-06,0,0,0,0,0,0,3.52037062461936e-06
"Ang Thong",2012,0,0,0,0,0,0,3.52259037205599e-06,0,0,0,0,0,3.52259037205599e-06
"Ang Thong",2013,0,0,0,0,3.52445265250307e-06,0,0,0,0,0,0,0,3.52445265250307e-06
"Ang Thong",2014,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ang Thong",2015,0,0,0,0,3.53141012737796e-06,0,3.53141012737796e-06,3.53141012737796e-06,0,3.53141012737796e-06,3.53141012737796e-06,0,1.76570506368898e-05
"Ang Thong",2016,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ang Thong",2017,0,0,0,0,0,0,7.11270435688705e-06,0,0,0,0,0,7.11270435688705e-06
"Ang Thong",2018,0,0,0,3.56074633243128e-06,0,0,0,0,0,0,0,3.56074633243128e-06,7.12149266486255e-06
"Ang Thong",2019,0,0,0,0,0,0,0,0,0,0,0,3.57584729701703e-06,3.57584729701703e-06
"Ang Thong",2020,0,0,0,3.61553813669627e-06,0,0,0,0,0,3.61553813669627e-06,0,0,7.23107627339253e-06
"Bangkok",2011,1.93837961684579e-06,8.81081644020813e-07,8.81081644020813e-07,1.4097306304333e-06,1.05729797282498e-06,1.58594695923746e-06,7.0486531521665e-07,1.58594695923746e-06,3.52432657608325e-07,5.28648986412488e-07,1.23351430162914e-06,5.28648986412488e-07,1.26875756738997e-05
"Bangkok",2012,8.81280888895156e-07,5.28768533337094e-07,3.52512355558062e-07,3.52512355558062e-07,3.52512355558062e-07,3.52512355558062e-07,1.58630560001128e-06,1.93881795556934e-06,1.41004942223225e-06,7.05024711116125e-07,1.93881795556934e-06,1.58630560001128e-06,1.19854200889741e-05
"Bangkok",2013,1.05517659083699e-06,5.27588295418494e-07,5.27588295418494e-07,1.75862765139498e-07,5.27588295418494e-07,1.58276488625548e-06,1.23103935597649e-06,2.28621594681347e-06,7.03451060557991e-07,1.75862765139498e-06,3.51725530278996e-07,1.75862765139498e-07,1.09034914386489e-05
