"area","year","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","total"
"Amnat Charoen",2011,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amnat Charoen",2012,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amnat Charoen",2013,0,0,0,2.66881595311424e-06,2.66881595311424e-06,0,0,0,0,0,0,0,5.33763190622848e-06
"Amnat Charoen",2014,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amnat Charoen",2015,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amnat Charoen",2016,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amnat Charoen",2017,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amnat Charoen",2018,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amnat Charoen",2019,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amnat Charoen",2020,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ang Thong",2011,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ang Thong",2012,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ang Thong",2013,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ang Thong",2014,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ang Thong",2015,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ang Thong",2016,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ang Thong",2017,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ang Thong",2018,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ang Thong",2019,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ang Thong",2020,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bangkok",2011,1.76216328804163e-07,0,0,1.76216328804163e-07,0,3.52432657608325e-07,0,1.76216328804163e-07,0,0,0,0,8.81081644020813e-07
"Bangkok",2012,0,0,0,0,0,0,0,1.76256177779031e-07,0,0,0,0,1.76256177779031e-07
"Bangkok",2013,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bangkok",2014,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bangkok",2015,0,0,0,0,0,0,0,0,0,1.75549192482492e-07,0,1.75549192482492e-07,3.51098384964984e-07
"Bangkok",2016,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bangkok",2017,0,0,0,0,0,0,1.75981514901675e-07,0,0,1.75981514901675e-07,1.75981514901675e-07,1.75981514901675e-07,7.03926059606699e-07
"Bangkok",2018,1.76160297414953e-07,0,0,0,0,1.76160297414953e-07,1.76160297414953e-07,1.76160297414953e-07,0,0,0,0,7.04641189659813e-07
"Bangkok",2019,1.76483128918808e-07,1.76483128918808e-07,0,0,0,0,1.76483128918808e-07,1.76483128918808e-07,0,0,1.76483128918808e-07,0,8.82415644594039e-07
"Bangkok",2020,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bungkan",2011,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bungkan",2012,0,0,0,0,0,0,0,0,0,0,0,0,0
