Area,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Bangkok,1484.3666666666668,1151.0666666666666,1628.2333333333333,1537.8999999999999,1548.7333333333333,1750.5333333333335,2096.2000000000003,1930.5,2129.9666666666667,1495.0666666666666,1500.2666666666667,1097.3999999999999,1619.1000000000001
Buri Ram,1169.55,1342.4,522.35,1245.5500000000002,1316.0,1498.6,1242.05,1241.35,1550.9499999999998,1253.6,673.85,1268.35,1108.35
Chaiyaphum,832.6,915.4,1039.2,951.4,1342.9,1695.2,1502.1,1506.3,1274.3,1077.0,1333.3,793.5,912.8
Chanthaburi,2472.9,2988.8,2891.1,3910.5,3434.9,3452.4,3099.1,2856.0,3316.7,2545.7,3711.2,2768.7,2721.4
Chiang Mai,444.8,604.45,696.7,750.0,562.65,570.5,535.1,1500.45,1758.25,1383.45,1839.9,1467.5500000000002,1100.8
Chiang Rai,1404.1,1757.4,1641.3,1935.2,2041.7,1729.1,1625.0,1824.8,2042.6,1810.5,2141.5,1470.0,1431.6
Chon Buri,1260.8200000000002,975.0,881.1600000000001,967.5600000000001,1066.02,1203.06,1177.6399999999999,1299.0800000000002,1304.16,1243.8799999999999,1242.3,752.14,941.76
Chumphon,1998.8,1557.9,1894.6,2083.6,2290.3,1701.9,1617.2,1540.0,2044.3,1889.2,1930.5,1678.0,2107.8
Kalasin,1218.5,1678.0,,1498.9,1509.1,1457.9,1414.4,1296.9,1533.2,1126.8,1020.7,1377.0,27.2
Kamphaeng Phet,1091.4,1183.7,1167.6,1257.6,1426.5,1704.4,1169.3,1594.4,1594.2,1229.7,1526.9,1281.1,967.0
Kanchanaburi,1346.15,1069.95,1568.5,1690.5500000000002,1473.1,1592.9499999999998,1649.4,1328.0,1490.45,1575.6999999999998,1514.5500000000002,1106.0,1169.95
Khon Kaen,1402.6,1467.4,1221.8,936.5,1201.5,1378.9,1780.6,1039.9,1230.1,1377.1,1000.0,943.0,998.9
Krabi,1184.35,978.5,821.55,,1849.4,2133.35,1679.55,1952.9,2256.15,2403.05,2636.85,2417.95,2079.9
Lampang,450.8,952.85,1039.65,1455.8,1150.6,1142.95,1098.85,1143.55,1633.0,1072.75,1118.0500000000002,1319.6,995.1999999999999
Lamphun,823.2,1008.7,1253.8,1142.3,890.2,1226.7,737.2,1355.1,1706.7,896.5,1137.0,788.0,1076.1
Loei,1215.9,1238.9,1098.5,1150.4,1270.7,1274.6,1347.8,1541.2,1972.2,1021.1,1548.7,1078.1,862.3
Lop Buri,1049.4,1029.0500000000002,1129.4,1237.6,1039.4,1376.6,1075.7,1282.5,1191.3,1104.95,1335.95,878.55,1120.35
Mae Hong Son,1075.75,1200.65,756.85,765.9,1247.35,1362.55,1208.0,1306.9499999999998,1666.6999999999998,1360.4,1132.15,995.9000000000001,1067.1
Maha Sarakham,1106.3,1157.2,,,1554.8,1810.6,1332.3,995.1,1365.9,1458.0,1214.0,1493.7,832.0
Mukdahan,1285.6,1516.9,1631.6,1378.6,1300.3,1400.2,1212.0,1738.0,1775.2,1046.6,1751.7,1243.1,1013.9
Nakhon Phanom,2165.5,2189.5,2960.9,2684.7,2308.4,2786.2,2244.5,1939.6,2719.6,1930.1,2054.5,2341.3,2079.2
Nakhon Ratchasima,895.35,1032.9,690.2,1023.4499999999999,1186.3,1356.6999999999998,1113.55,1427.9,1197.9,917.35,1358.35,960.95,1109.65
Nakhon Sawan,1111.0,929.0,1229.6,1221.2,1185.6,1486.2,1415.4,1575.5,1547.0,1040.7,1050.8,986.6,771.4
Nakhon Si Thammarat,2266.6,1538.8,1448.6,2362.55,2334.35,2446.45,1935.05,2326.9,3175.45,2219.9,2333.9,2149.0,1974.35
Nan,1248.9333333333334,1640.9000000000003,1640.0,1508.8333333333333,1302.0333333333333,1648.7333333333333,1242.6000000000001,1570.7,1985.6333333333332,1179.9666666666665,1319.5666666666666,1247.1333333333334,1256.9666666666667
Narathiwat,2352.6,2217.7,,1890.1,2006.2,3268.6,2935.1,2571.6,4001.8,2938.8,2995.6,2377.8,1987.2
Nong Khai,1694.1,1590.1,1692.5,1375.1,1404.8,2331.0,1843.6,1591.8,2408.8,1516.6,1526.8,1572.6,1523.5
Pattani,1885.0,1281.1,2085.3,1579.0,1841.2,2598.6,1562.7,2081.7,2290.3,1666.3,1625.8,2013.9,1189.7
Phangnga,3470.0,,,,4044.7,3638.0,3912.1,3376.2,4282.1,4372.4,4776.5,3545.7,3274.5
Phayao,1043.9,1081.8,1564.0,1682.4,1138.4,1172.9,847.0,1158.2,1391.4,1115.5,1173.7,1141.5,807.5
Phetchabun,1041.8666666666666,1054.3333333333333,918.2333333333332,1371.3,1155.9333333333332,1406.2666666666667,1064.7,1240.6000000000001,1416.6666666666667,990.8000000000001,1231.6000000000001,1013.1666666666666,923.8333333333334
