2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Area
1372.0,1160.4,1651.4,1598.7,1684.2,1902.4,2272.0,2023.7,2240.2,1656.9,1772.9,1130.1,1907.6,Bangkok
1596.6,1192.7,1623.8,1582.0,1419.0,1795.4,2002.4,1865.0,2191.7,1241.1,1297.8,894.3,1728.3,Bangkok
1484.5,1100.1,1609.5,1433.0,1543.0,1553.8,2014.2,1902.8,1958.0,1587.2,1430.1,1267.8,1221.4,Bangkok
1184.5,882.1,1164.2,1045.8,1091.7,1324.8,1329.2,1120.4,1067.0,1091.3,1088.9,824.4,963.2,Kanchanaburi
1507.8,1257.8,1972.8,2335.3,1854.5,1861.1,1969.6,1535.6,1913.9,2060.1,1940.2,1387.6,1376.7,Kanchanaburi
2472.9,2988.8,2891.1,3910.5,3434.9,3452.4,3099.1,2856.0,3316.7,2545.7,3711.2,2768.7,2721.4,Chanthaburi
1388.8,1134.8,1204.7,1317.9,1254.3,1271.0,1574.4,1376.4,1703.8,1268.8,1755.9,1115.8,1046.0,Chon Buri
1225.5,953.2,1056.6,1031.6,983.6,1069.1,1085.1,1314.5,1021.8,1309.4,1604.6,910.2,808.7,Chon Buri
1217.4,969.1,1102.3,1275.8,882.0,1078.2,1040.5,991.4,1290.6,1266.5,1222.0,906.9,1028.2,Chon Buri
1196.2,928.5,,,1269.8,1417.5,1143.6,1554.9,1409.2,1441.6,419.6,,908.3,Chon Buri
1276.2,889.4,1042.2,1212.5,940.4,1179.5,1044.6,1258.2,1095.4,933.1,1209.4,827.8,917.6,Chon Buri
4331.3,4326.0,4853.4,6463.2,4860.9,4511.9,6114.8,3686.3,5496.3,5376.8,5111.3,5143.9,3918.4,Trat
1282.6,1129.4,1081.0,1233.8,1408.3,932.1,793.1,722.6,901.5,1057.5,1418.5,998.5,978.7,Prachuap Khiri Khan
1232.7,712.4,1083.2,1029.5,1239.2,586.4,725.9,876.0,684.8,735.4,1112.5,610.3,638.9,Prachuap Khiri Khan
1837.7,1460.9,1787.0,1489.1,1908.7,1985.3,1676.3,2047.9,2468.5,1805.7,2129.0,1494.1,1628.0,Prachin Buri
1743.1,1392.0,1549.8,1801.0,1176.4,1954.7,1370.2,968.1,1156.7,1730.8,1810.1,1310.0,1399.7,Prachin Buri
922.8,1069.7,868.8,944.7,1113.4,881.6,871.3,1169.1,977.7,898.0,1137.8,929.3,794.1,Phetchaburi
1288.1,1155.2,1202.6,1420.9,1366.4,1201.2,1527.6,1716.1,1650.4,1483.0,1743.8,1049.9,1449.7,Rayong
1029.6,971.2,1191.2,1226.9,900.9,1473.2,1206.3,1227.3,1270.6,1027.7,1125.5,900.7,1185.1,Lop Buri
1069.2,1086.9,1067.6,1248.3,1177.9,1280.0,945.1,1337.7,1112.0,1182.2,1546.4,856.4,1055.6,Lop Buri
1084.9,865.8,944.0,940.1,826.5,911.0,1147.3,1091.6,1019.3,1037.6,992.9,652.8,758.3,Samut Prakan
,,,,,1445.8,1537.2,1524.4,1418.4,1124.5,1312.9,850.1,774.5,Samut Prakan
1394.6,1196.8,1024.2,1463.8,1370.8,1450.8,1352.2,1373.2,1429.4,1335.8,1818.5,1430.6,978.0,Sa Kaeo
1712.7,1211.0,997.9,1651.0,1158.6,1602.4,1300.1,1472.2,1911.6,1575.0,2015.3,1206.5,1252.1,Sa Kaeo
1084.5,646.9,1303.6,940.3,782.0,945.0,654.2,962.6,999.9,1059.6,1048.9,953.7,960.4,Suphan Buri
1091.4,1183.7,1167.6,1257.6,1426.5,1704.4,1169.3,1594.4,1594.2,1229.7,1526.9,1281.1,967.0,Kamphaeng Phet
889.6,1208.9,1393.4,1500.0,1125.3,1141.0,1070.2,1156.0,1449.5,925.6,1288.0,1064.4,831.8,Chiang Mai
